Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,3780,3780,3780,0.00,0.000%,.26455,0.17,0.07,647.0
Login as User Request,1,997,997,997,0.00,0.000%,1.00301,0.63,0.25,645.0
Login as Merchant Request,1,1000,1000,1000,0.00,0.000%,1.00000,0.63,0.25,647.0
JP@GC Register Merchant Request,21,4949,1240,7731,1661.71,0.000%,.57957,0.37,0.31,658.0
JP@GC Register User Request,20,4268,1386,6100,1293.58,0.000%,.54364,0.34,0.16,643.4
JP@GC Login Request,18,4061,1106,6201,1587.44,0.000%,.49303,0.31,0.12,643.3
JP@GC Register Admin Request,11,5137,3400,5997,796.75,0.000%,.41985,0.27,0.22,649.4
JP@GC Create Category Request,50,84,9,199,57.23,0.000%,1.48399,0.72,0.68,494.6
JP@GC Get All Categories Request,50,62,5,197,57.70,0.000%,1.49214,3.36,0.57,2309.1
JP@GC Get Category by ID Request,50,43,6,200,50.19,6.000%,1.49651,0.72,0.57,491.2
JP@GC Update Category Request,40,48,9,202,49.89,0.000%,1.47016,0.71,0.70,497.5
JP@GC Create Merchant Request,281,305,5,699,137.47,92.527%,7.20809,3.15,4.19,447.9
JP@GC Get All Merchants Request,277,534,8,1301,317.03,0.000%,7.12046,27.22,2.70,3914.9
JP@GC Get Merchant by ID Request,271,247,4,599,122.08,91.882%,7.00349,3.10,2.66,452.5
JP@GC Create Item Request,192,385,91,1802,184.49,4.688%,4.92383,3.74,4.52,777.6
JP@GC Get All Items Request,190,275,4,899,140.40,0.000%,4.88532,168.79,1.84,35379.6
JP@GC Get Item by ID Request,188,283,6,697,135.53,5.319%,4.89520,3.72,1.84,777.9
JP@GC Add Item Stock Request,186,329,6,699,138.48,5.376%,4.83217,3.67,2.15,777.7
JP@GC Remove Item Stock Request,183,328,7,800,140.52,5.464%,4.77719,3.62,2.14,776.4
JP@GC Create Order Request,74,283,94,795,124.20,12.162%,2.04986,1.74,2.11,869.8
JP@GC Get User Orders Request,74,409,4,1004,248.76,0.000%,2.08380,35.12,0.77,17260.6
JP@GC Get All Orders Request,70,358,4,1098,228.84,0.000%,1.97133,32.21,0.74,16730.8
JP@GC Get Order by ID Request,70,111,6,203,47.88,18.571%,1.97718,1.63,0.74,844.6
JP@GC Approve Order Request,64,190,6,498,100.27,15.625%,2.02468,1.03,0.91,521.4
JP@GC Get All Merchant Orders Request,540,165,4,400,73.88,0.000%,13.84935,238.81,5.33,17657.0
JP@GC Get Merchant Order by ID Request,539,251,5,701,109.92,87.941%,13.88925,6.46,5.34,476.2
JP@GC Get Merchant Order of Merchant User Request,533,142,3,500,75.63,0.000%,13.80614,238.06,5.26,17657.0
JP@GC Get All Shipping Orders Request,609,151,3,402,72.92,0.000%,15.62099,458.74,6.01,30072.0
JP@GC Get Shipping Order by ID Request,605,223,4,601,106.75,89.256%,15.55550,7.50,5.98,493.4
JP@GC Get Shipping Order of User Request,602,121,2,303,72.06,0.000%,15.51466,455.62,5.88,30072.0
JP@GC Reject Order Request,912,330,6,701,136.74,97.697%,23.33078,9.93,10.53,436.0
JP@GC Cancel Order Request,1030,292,4,603,121.79,100.000%,26.41161,11.18,12.05,433.6
JP@GC Delete Order by ID Request,1849,162,3,699,73.70,96.485%,47.41269,21.05,19.51,454.6
JP@GC Delete Item Request,1596,188,4,400,75.49,88.534%,40.82886,19.03,16.24,477.3
JP@GC Delete Merchants Request,2199,136,3,395,61.23,99.045%,56.38172,24.31,22.66,441.5
JP@GC Delete Category Request,2218,135,3,497,64.29,97.746%,56.87325,24.45,22.91,440.3
TOTAL,15615,220,2,7731,336.75,70.836%,29.92583,134.35,12.49,4597.3
