Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login as Admin Request,1,4068,4068,4068,0.00,0.000%,.24582,0.16,0.06,647.0
Login as User Request,1,1090,1090,1090,0.00,0.000%,.91743,0.58,0.23,645.0
Login as Merchant Request,1,994,994,994,0.00,0.000%,1.00604,0.64,0.25,647.0
Register Merchant Request,50,29941,12512,60410,7643.02,0.000%,.82765,0.53,0.44,658.4
Register User Request,50,24489,12399,44402,6460.59,0.000%,.70029,0.44,0.20,643.9
Login Request,50,17948,5799,34300,6411.26,0.000%,.72253,0.45,0.18,643.9
Register Admin Request,50,24956,2104,36401,7517.20,0.000%,.93275,0.59,0.49,651.8
Create Category Request,50,3127,1492,7884,1467.28,0.000%,6.33955,3.06,2.92,494.6
Get All Categories Request,50,3243,800,6800,1429.89,0.000%,4.63134,15.29,1.76,3381.6
Get Category by ID Request,50,3648,1100,7298,1420.67,0.000%,4.85531,2.35,1.84,494.6
Update Category Request,50,2218,399,5905,1183.72,0.000%,6.25156,3.04,2.99,497.6
Create Merchant Request,50,4987,1991,14995,2740.86,0.000%,3.33444,1.94,1.93,596.2
Get All Merchants Request,50,6513,1899,13299,2612.37,0.000%,3.33289,24.82,1.27,7627.0
Get Merchant by ID Request,50,3829,101,8101,2472.22,0.000%,4.62834,2.69,1.75,595.9
Create Item Request,50,3971,1287,8089,2066.52,8.000%,6.17971,4.60,5.66,762.1
Get All Items Request,50,3327,399,7494,1750.36,0.000%,4.13155,60.50,1.55,14994.3
Get Item by ID Request,50,3541,1001,7699,1383.12,12.000%,3.78759,2.78,1.42,752.2
Add Item Stock Request,50,3760,1200,9399,1646.72,8.000%,3.49675,2.62,1.55,766.6
Remove Item Stock Request,50,2582,504,6798,1514.93,8.000%,4.80584,3.59,2.14,765.7
Create Order Request,50,6338,3279,11985,2419.88,80.000%,4.17119,2.00,4.29,491.5
Get User Orders Request,50,5796,201,11401,2561.93,0.000%,3.75912,17.19,1.39,4681.9
Get All Orders Request,50,3363,201,7798,1900.68,0.000%,5.31971,28.53,2.01,5492.0
Get Order by ID Request,50,2211,599,5198,1006.84,80.000%,8.62069,4.52,3.24,537.1
Approve Order Request,50,385,8,1900,374.98,84.000%,8.32778,3.69,3.76,453.4
Get All Merchant Orders Request,50,2864,1790,4687,774.45,0.000%,10.66325,32.09,4.10,3082.0
Get Merchant Order by ID Request,50,2933,1300,5100,954.52,80.000%,8.47601,4.11,3.25,496.2
Get Merchant Order of Merchant User Request,50,1202,102,3001,810.16,0.000%,12.20703,36.74,4.65,3082.0
Get All Shipping Orders Request,50,3402,1893,5893,1045.21,0.000%,8.48033,41.34,3.26,4992.0
Get Shipping Order by ID Request,50,2729,501,4901,1003.06,80.000%,7.04325,3.68,2.70,534.3
Get Shipping Order of User Request,50,2050,101,4101,1163.73,0.000%,7.93651,38.69,3.01,4992.0
Reject Order Request,25,1330,691,2290,402.90,88.000%,10.91227,4.79,4.92,449.4
Cancel Order Request,25,1519,894,2399,454.18,80.000%,10.42101,4.66,4.75,457.6
Delete Order by ID Request,50,2042,988,2888,529.13,80.000%,17.30703,9.08,7.10,537.4
Delete Item Request,50,1992,894,2699,533.65,8.000%,18.52538,13.85,7.34,765.7
Delete Merchants Request,50,1581,590,1991,331.49,0.000%,25.07523,14.60,10.04,596.2
Delete Category Request,50,1434,490,1891,382.34,0.000%,26.42706,12.84,10.60,497.6
TOTAL,1603,5738,8,60410,7852.54,19.089%,7.38492,14.86,3.26,2060.2
