sep=,
"Time","PKG","CORE"
2025-08-29 13:43:00,0.00000541,0.00000228
2025-08-29 13:43:15,0.00000617,0.00000262
2025-08-29 13:43:30,0.00000737,0.00000297
2025-08-29 13:43:45,0.00000821,0.00000338
2025-08-29 13:44:00,0.00000895,0.00000376
2025-08-29 13:44:15,0.00000942,0.00000391
2025-08-29 13:44:30,0.0000101,0.00000427
2025-08-29 13:44:45,0.0000107,0.00000450
2025-08-29 13:45:00,0.0000111,0.00000462
2025-08-29 13:45:15,0.0000118,0.00000498
2025-08-29 13:45:30,0.0000123,0.00000515
2025-08-29 13:45:45,0.0000132,0.00000571
2025-08-29 13:46:00,0.0000120,0.00000523
2025-08-29 13:46:15,0.0000117,0.00000520
2025-08-29 13:46:30,0.0000113,0.00000493
2025-08-29 13:46:45,0.0000109,0.00000469
2025-08-29 13:47:00,0.0000111,0.00000479
2025-08-29 13:47:15,0.0000117,0.00000515
2025-08-29 13:47:30,0.0000123,0.00000539
2025-08-29 13:47:45,0.0000129,0.00000564
2025-08-29 13:48:00,0.0000134,0.00000577
2025-08-29 13:48:15,0.0000139,0.00000597
2025-08-29 13:48:30,0.0000148,0.00000648
2025-08-29 13:48:45,0.0000154,0.00000667
2025-08-29 13:49:00,0.0000161,0.00000709
2025-08-29 13:49:15,0.0000166,0.00000727
2025-08-29 13:49:30,0.0000173,0.00000761
2025-08-29 13:49:45,0.0000178,0.00000785
2025-08-29 13:50:00,0.0000184,0.00000801
2025-08-29 13:50:15,0.0000193,0.00000857
2025-08-29 13:50:30,0.0000197,0.00000869
2025-08-29 13:50:45,0.0000205,0.00000909
2025-08-29 13:51:00,0.0000210,0.00000927

