sep=,
"Time","PKG","CORE"
2025-08-28 07:51:00,0.00000185,6.97e-7
2025-08-28 07:51:15,0.00000186,7.13e-7
2025-08-28 07:51:30,0.00000217,8.27e-7
2025-08-28 07:51:45,0.00000215,8.1e-7
2025-08-28 07:52:00,0.00000223,8.61e-7
2025-08-28 07:52:15,0.00000218,8.46e-7
2025-08-28 07:52:30,0.00000216,8.38e-7
2025-08-28 07:52:45,0.00000209,8.2e-7
2025-08-28 07:53:00,0.00000207,8.19e-7
2025-08-28 07:53:15,0.00000210,8.5e-7
2025-08-28 07:53:30,0.00000212,8.67e-7
2025-08-28 07:53:45,0.00000210,8.54e-7
2025-08-28 07:54:00,0.00000212,8.64e-7
2025-08-28 07:54:15,0.00000210,8.67e-7
2025-08-28 07:54:30,0.00000211,8.65e-7
2025-08-28 07:54:45,0.00000212,8.8e-7
2025-08-28 07:55:00,0.00000212,8.78e-7
2025-08-28 07:55:15,0.00000204,8.4e-7
2025-08-28 07:55:30,0.00000204,8.43e-7
2025-08-28 07:55:45,0.00000198,7.95e-7
2025-08-28 07:56:00,0.00000199,8.08e-7
2025-08-28 07:56:15,0.00000201,8.25e-7
2025-08-28 07:56:30,0.00000204,8.37e-7
2025-08-28 07:56:45,0.00000205,8.56e-7
2025-08-28 07:57:00,0.00000206,8.6e-7
2025-08-28 07:57:15,0.00000203,8.59e-7
2025-08-28 07:57:30,0.00000204,8.67e-7
2025-08-28 07:57:45,0.00000206,8.98e-7
2025-08-28 07:58:00,0.00000198,8.65e-7
2025-08-28 07:58:15,0.00000193,8.64e-7
2025-08-28 07:58:30,0.00000194,8.75e-7
2025-08-28 07:58:45,0.00000195,8.84e-7
2025-08-28 07:59:00,0.00000198,9.03e-7
2025-08-28 07:59:15,0.00000189,8.61e-7
2025-08-28 07:59:30,0.00000190,8.71e-7
2025-08-28 07:59:45,0.00000190,8.67e-7
2025-08-28 08:00:00,0.00000191,8.68e-7

