sep=,
"Time","PKG","CORE"
2025-08-26 13:32:00,0.0000731,0.00000596
2025-08-26 13:32:15,0.0000731,0.00000598
2025-08-26 13:32:30,0.0000731,0.00000598
2025-08-26 13:32:45,0.0000735,0.00000625
2025-08-26 13:33:00,0.0000736,0.00000633
2025-08-26 13:33:15,0.0000739,0.00000654
2025-08-26 13:33:30,0.0000743,0.00000680
2025-08-26 13:33:45,0.0000747,0.00000705
2025-08-26 13:34:00,0.0000748,0.00000729
2025-08-26 13:34:15,0.0000718,0.00000692
2025-08-26 13:34:30,0.0000672,0.00000620
2025-08-26 13:34:45,0.0000606,0.00000383
2025-08-26 13:35:00,0.0000549,0.00000388
2025-08-26 13:35:15,0.0000320,0.00000470
2025-08-26 13:35:30,0.0000283,0.00000629
2025-08-26 13:35:45,0.0000233,0.00000743
2025-08-26 13:36:00,0.0000216,0.00000811
2025-08-26 13:36:15,0.0000170,0.00000834
2025-08-26 13:36:30,0.0000145,0.00000846
2025-08-26 13:36:45,0.0000144,0.00000870
2025-08-26 13:37:00,0.0000146,0.00000892
2025-08-26 13:37:15,0.0000147,0.00000904
2025-08-26 13:37:30,0.0000153,0.00000943
2025-08-26 13:37:45,0.0000157,0.00000965
2025-08-26 13:38:00,0.0000163,0.0000101
2025-08-26 13:38:15,0.0000172,0.0000106
2025-08-26 13:38:30,0.0000177,0.0000109
2025-08-26 13:38:45,0.0000186,0.0000115
2025-08-26 13:39:00,0.0000193,0.0000120
2025-08-26 13:39:15,0.0000205,0.0000127
2025-08-26 13:39:30,0.0000213,0.0000132
2025-08-26 13:39:45,0.0000222,0.0000137
2025-08-26 13:40:00,0.0000233,0.0000144
2025-08-26 13:40:15,0.0000238,0.0000146
2025-08-26 13:40:30,0.0000244,0.0000150
2025-08-26 13:40:45,0.0000249,0.0000153
2025-08-26 13:41:00,0.0000260,0.0000158
2025-08-26 13:41:15,0.0000270,0.0000164
2025-08-26 13:41:30,0.0000272,0.0000164
2025-08-26 13:41:45,0.0000272,0.0000164
2025-08-26 13:42:00,0.0000272,0.0000165

