sep=,
"Time","PKG","CORE"
2025-08-26 13:32:00,0.00000233,0.00000100
2025-08-26 13:32:15,0.00000232,0.00000101
2025-08-26 13:32:30,0.00000234,0.00000102
2025-08-26 13:32:45,0.00000235,0.00000103
2025-08-26 13:33:00,0.00000236,0.00000104
2025-08-26 13:33:15,0.00000238,0.00000105
2025-08-26 13:33:30,0.00000239,0.00000106
2025-08-26 13:33:45,0.00000240,0.00000106
2025-08-26 13:34:00,0.00000242,0.00000108
2025-08-26 13:34:15,0.00000243,0.00000109
2025-08-26 13:34:30,0.00000247,0.00000111
2025-08-26 13:34:45,0.00000249,0.00000112
2025-08-26 13:35:00,0.00000254,0.00000115
2025-08-26 13:35:15,0.00000256,0.00000116
2025-08-26 13:35:30,0.00000258,0.00000118
2025-08-26 13:35:45,0.00000261,0.00000120
2025-08-26 13:36:00,0.00000264,0.00000121
2025-08-26 13:36:15,0.00000265,0.00000122
2025-08-26 13:36:30,0.00000268,0.00000124
2025-08-26 13:36:45,0.00000270,0.00000125
2025-08-26 13:37:00,0.00000273,0.00000127
2025-08-26 13:37:15,0.00000275,0.00000128
2025-08-26 13:37:30,0.00000214,0.00000107
2025-08-26 13:37:45,0.00000140,7.6e-7
2025-08-26 13:38:00,0.00000101,6.19e-7
2025-08-26 13:38:15,0.00000100,6.15e-7
2025-08-26 13:38:30,9.99e-7,6.15e-7
2025-08-26 13:38:45,9.98e-7,6.15e-7
2025-08-26 13:39:00,9.65e-7,5.96e-7
2025-08-26 13:39:15,8.61e-7,5.41e-7
2025-08-26 13:39:30,8.57e-7,5.39e-7
2025-08-26 13:39:45,8.46e-7,5.31e-7
2025-08-26 13:40:00,8.4e-7,5.27e-7
2025-08-26 13:40:15,8.74e-7,5.47e-7
2025-08-26 13:40:30,9.6e-7,6.01e-7
2025-08-26 13:40:45,0.00000101,6.38e-7
2025-08-26 13:41:00,0.00000100,6.28e-7
2025-08-26 13:41:15,9.96e-7,6.22e-7
2025-08-26 13:41:30,0.00000100,6.26e-7
2025-08-26 13:41:45,9.83e-7,6.13e-7
2025-08-26 13:42:00,9.9e-7,6.18e-7

