sep=,
"Time","PKG","CORE"
2025-08-31 02:57:00,0.00000167,8.99e-7
2025-08-31 02:57:15,0.00000165,8.91e-7
2025-08-31 02:57:30,0.00000163,8.82e-7
2025-08-31 02:57:45,0.00000163,8.8e-7
2025-08-31 02:58:00,0.00000164,8.86e-7
2025-08-31 02:58:15,0.00000167,9.03e-7
2025-08-31 02:58:30,0.00000170,9.27e-7
2025-08-31 02:58:45,0.00000176,9.63e-7
2025-08-31 02:59:00,0.00000178,9.78e-7
2025-08-31 02:59:15,0.00000181,9.97e-7
2025-08-31 02:59:30,0.00000186,0.00000103
2025-08-31 02:59:45,0.00000194,0.00000108
2025-08-31 03:00:00,0.00000200,0.00000112
2025-08-31 03:00:15,0.00000202,0.00000114
2025-08-31 03:00:30,0.00000122,8e-7
2025-08-31 03:00:45,0.00000122,8.05e-7
2025-08-31 03:01:00,0.00000123,8.12e-7
2025-08-31 03:01:15,0.00000123,8.16e-7
2025-08-31 03:01:30,0.00000123,8.18e-7
2025-08-31 03:01:45,0.00000119,7.98e-7
2025-08-31 03:02:00,0.00000112,7.52e-7
2025-08-31 03:02:15,0.00000113,7.59e-7
2025-08-31 03:02:30,0.00000112,7.57e-7
2025-08-31 03:02:45,0.00000104,7.03e-7
2025-08-31 03:03:00,0.00000103,6.94e-7
2025-08-31 03:03:15,0.00000102,6.92e-7
2025-08-31 03:03:30,0.00000102,6.95e-7
2025-08-31 03:03:45,0.00000101,6.88e-7
2025-08-31 03:04:00,0.00000106,7.19e-7
2025-08-31 03:04:15,0.00000121,8.15e-7
2025-08-31 03:04:30,0.00000137,9.13e-7
2025-08-31 03:04:45,0.00000137,9.07e-7
2025-08-31 03:05:00,0.00000137,9.09e-7
2025-08-31 03:05:15,0.00000148,9.81e-7
2025-08-31 03:05:30,0.00000166,0.00000108
2025-08-31 03:05:45,0.00000178,0.00000116
2025-08-31 03:06:00,0.00000179,0.00000117

