sep=,
"Time","PKG","CORE"
2025-08-31 02:57:00,0.00000112,6.98e-7
2025-08-31 02:57:15,0.00000113,7.02e-7
2025-08-31 02:57:30,0.00000113,7.01e-7
2025-08-31 02:57:45,0.00000112,6.97e-7
2025-08-31 02:58:00,0.00000113,7.03e-7
2025-08-31 02:58:15,0.00000114,7.09e-7
2025-08-31 02:58:30,0.00000115,7.1e-7
2025-08-31 02:58:45,0.00000114,7.09e-7
2025-08-31 02:59:00,0.00000115,7.12e-7
2025-08-31 02:59:15,0.00000114,7.08e-7
2025-08-31 02:59:30,0.00000117,7.25e-7
2025-08-31 02:59:45,0.00000120,7.42e-7
2025-08-31 03:00:00,0.00000122,7.55e-7
2025-08-31 03:00:15,0.00000126,7.84e-7
2025-08-31 03:00:30,0.00000105,6.79e-7
2025-08-31 03:00:45,0.00000105,6.88e-7
2025-08-31 03:01:00,0.00000106,7.01e-7
2025-08-31 03:01:15,0.00000106,7.02e-7
2025-08-31 03:01:30,0.00000105,6.98e-7
2025-08-31 03:01:45,0.00000106,7.03e-7
2025-08-31 03:02:00,0.00000101,6.69e-7
2025-08-31 03:02:15,9.69e-7,6.5e-7
2025-08-31 03:02:30,0.00000102,6.85e-7
2025-08-31 03:02:45,0.00000103,6.97e-7
2025-08-31 03:03:00,0.00000105,7.15e-7
2025-08-31 03:03:15,0.00000114,7.86e-7
2025-08-31 03:03:30,0.00000121,8.34e-7
2025-08-31 03:03:45,0.00000128,8.83e-7
2025-08-31 03:04:00,0.00000133,9.18e-7
2025-08-31 03:04:15,0.00000133,9.12e-7
2025-08-31 03:04:30,0.00000133,9.17e-7
2025-08-31 03:04:45,0.00000133,9.13e-7
2025-08-31 03:05:00,0.00000132,9.04e-7
2025-08-31 03:05:15,0.00000133,9.09e-7
2025-08-31 03:05:30,0.00000132,9.01e-7
2025-08-31 03:05:45,0.00000131,9e-7
2025-08-31 03:06:00,0.00000132,9.07e-7

