sep=,
"Time","PKG","CORE"
2025-08-31 02:57:00,0.00000103,5.64e-7
2025-08-31 02:57:15,0.00000103,5.7e-7
2025-08-31 02:57:30,0.00000102,5.63e-7
2025-08-31 02:57:45,0.00000102,5.62e-7
2025-08-31 02:58:00,0.00000102,5.59e-7
2025-08-31 02:58:15,0.00000102,5.6e-7
2025-08-31 02:58:30,0.00000102,5.61e-7
2025-08-31 02:58:45,0.00000102,5.58e-7
2025-08-31 02:59:00,0.00000101,5.51e-7
2025-08-31 02:59:15,0.00000101,5.5e-7
2025-08-31 02:59:30,0.00000102,5.59e-7
2025-08-31 02:59:45,0.00000104,5.69e-7
2025-08-31 03:00:00,0.00000105,5.79e-7
2025-08-31 03:00:15,0.00000106,5.87e-7
2025-08-31 03:00:30,0.00000108,5.95e-7
2025-08-31 03:00:45,0.00000101,5.62e-7
2025-08-31 03:01:00,5.86e-7,3.82e-7
2025-08-31 03:01:15,5.79e-7,3.79e-7
2025-08-31 03:01:30,5.82e-7,3.83e-7
2025-08-31 03:01:45,5.86e-7,3.86e-7
2025-08-31 03:02:00,5.87e-7,3.87e-7
2025-08-31 03:02:15,5.71e-7,3.78e-7
2025-08-31 03:02:30,5.46e-7,3.62e-7
2025-08-31 03:02:45,5.11e-7,3.41e-7
2025-08-31 03:03:00,4.55e-7,3.07e-7
2025-08-31 03:03:15,4.44e-7,3e-7
2025-08-31 03:03:30,4.35e-7,2.95e-7
2025-08-31 03:03:45,4.4e-7,2.98e-7
2025-08-31 03:04:00,4.42e-7,3e-7
2025-08-31 03:04:15,4.38e-7,2.96e-7
2025-08-31 03:04:30,4.4e-7,2.97e-7
2025-08-31 03:04:45,4.85e-7,3.27e-7
2025-08-31 03:05:00,4.84e-7,3.26e-7
2025-08-31 03:05:15,4.85e-7,3.27e-7
2025-08-31 03:05:30,4.84e-7,3.25e-7
2025-08-31 03:05:45,4.87e-7,3.27e-7
2025-08-31 03:06:00,4.88e-7,3.28e-7

