sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000138,7.19e-7
2025-08-31 03:39:15,0.00000136,7.03e-7
2025-08-31 03:39:30,0.00000134,6.92e-7
2025-08-31 03:39:45,0.00000133,6.84e-7
2025-08-31 03:40:00,0.00000132,6.81e-7
2025-08-31 03:40:15,0.00000132,6.79e-7
2025-08-31 03:40:30,0.00000133,6.82e-7
2025-08-31 03:40:45,0.00000133,6.84e-7
2025-08-31 03:41:00,0.00000133,6.87e-7
2025-08-31 03:41:15,0.00000133,6.88e-7
2025-08-31 03:41:30,0.00000136,7.01e-7
2025-08-31 03:41:45,0.00000138,7.12e-7
2025-08-31 03:42:00,0.00000141,7.36e-7
2025-08-31 03:42:15,0.00000143,7.45e-7
2025-08-31 03:42:30,0.00000145,7.55e-7
2025-08-31 03:42:45,0.00000145,7.59e-7
2025-08-31 03:43:00,8.03e-7,4.63e-7
2025-08-31 03:43:15,7.93e-7,4.6e-7
2025-08-31 03:43:30,7.87e-7,4.56e-7
2025-08-31 03:43:45,7.78e-7,4.51e-7
2025-08-31 03:44:00,7.64e-7,4.42e-7
2025-08-31 03:44:15,7.53e-7,4.36e-7
2025-08-31 03:44:30,7.46e-7,4.31e-7
2025-08-31 03:44:45,6.96e-7,4e-7
2025-08-31 03:45:00,6.26e-7,3.58e-7
2025-08-31 03:45:15,5.43e-7,3.09e-7
2025-08-31 03:45:30,5.26e-7,2.99e-7
2025-08-31 03:45:45,5.14e-7,2.92e-7
2025-08-31 03:46:00,5.11e-7,2.9e-7
2025-08-31 03:46:15,5.08e-7,2.89e-7
2025-08-31 03:46:30,5.06e-7,2.89e-7
2025-08-31 03:46:45,5e-7,2.86e-7
2025-08-31 03:47:00,4.95e-7,2.84e-7
2025-08-31 03:47:15,4.97e-7,2.87e-7
2025-08-31 03:47:30,4.98e-7,2.88e-7
2025-08-31 03:47:45,4.97e-7,2.88e-7
2025-08-31 03:48:00,5.03e-7,2.91e-7
2025-08-31 03:48:15,5.05e-7,2.94e-7
2025-08-31 03:48:30,4.99e-7,2.9e-7
2025-08-31 03:48:45,5.02e-7,2.93e-7
2025-08-31 03:49:00,5.11e-7,2.98e-7

