sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,8.48e-7,4.7e-7
2025-08-31 03:39:15,8.42e-7,4.66e-7
2025-08-31 03:39:30,8.4e-7,4.64e-7
2025-08-31 03:39:45,8.41e-7,4.64e-7
2025-08-31 03:40:00,8.32e-7,4.58e-7
2025-08-31 03:40:15,8.31e-7,4.57e-7
2025-08-31 03:40:30,8.31e-7,4.57e-7
2025-08-31 03:40:45,8.31e-7,4.57e-7
2025-08-31 03:41:00,8.28e-7,4.55e-7
2025-08-31 03:41:15,8.36e-7,4.61e-7
2025-08-31 03:41:30,8.53e-7,4.71e-7
2025-08-31 03:41:45,8.72e-7,4.82e-7
2025-08-31 03:42:00,8.86e-7,4.9e-7
2025-08-31 03:42:15,8.96e-7,4.96e-7
2025-08-31 03:42:30,9.04e-7,5e-7
2025-08-31 03:42:45,7.73e-7,4.44e-7
2025-08-31 03:43:00,7.64e-7,4.4e-7
2025-08-31 03:43:15,7.6e-7,4.39e-7
2025-08-31 03:43:30,7.49e-7,4.33e-7
2025-08-31 03:43:45,7.38e-7,4.27e-7
2025-08-31 03:44:00,7.26e-7,4.19e-7
2025-08-31 03:44:15,7.11e-7,4.1e-7
2025-08-31 03:44:30,6.65e-7,3.81e-7
2025-08-31 03:44:45,5.98e-7,3.43e-7
2025-08-31 03:45:00,5.06e-7,2.85e-7
2025-08-31 03:45:15,4.8e-7,2.7e-7
2025-08-31 03:45:30,4.59e-7,2.57e-7
2025-08-31 03:45:45,4.55e-7,2.55e-7
2025-08-31 03:46:00,4.45e-7,2.5e-7
2025-08-31 03:46:15,4.45e-7,2.5e-7
2025-08-31 03:46:30,4.39e-7,2.47e-7
2025-08-31 03:46:45,4.33e-7,2.44e-7
2025-08-31 03:47:00,4.35e-7,2.46e-7
2025-08-31 03:47:15,4.42e-7,2.52e-7
2025-08-31 03:47:30,4.36e-7,2.5e-7
2025-08-31 03:47:45,4.42e-7,2.54e-7
2025-08-31 03:48:00,4.7e-7,2.69e-7
2025-08-31 03:48:15,5.52e-7,3.17e-7
2025-08-31 03:48:30,5.86e-7,3.36e-7
2025-08-31 03:48:45,5.91e-7,3.4e-7
2025-08-31 03:49:00,6e-7,3.45e-7

