sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.000133,0.0000742
2025-08-31 03:39:15,0.000134,0.0000745
2025-08-31 03:39:30,0.000134,0.0000745
2025-08-31 03:39:45,0.000134,0.0000740
2025-08-31 03:40:00,0.000134,0.0000737
2025-08-31 03:40:15,0.000134,0.0000737
2025-08-31 03:40:30,0.000134,0.0000738
2025-08-31 03:40:45,0.000135,0.0000741
2025-08-31 03:41:00,0.000135,0.0000742
2025-08-31 03:41:15,0.000135,0.0000746
2025-08-31 03:41:30,0.000135,0.0000760
2025-08-31 03:41:45,0.000133,0.0000742
2025-08-31 03:42:00,0.000136,0.0000764
2025-08-31 03:42:15,0.000140,0.0000784
2025-08-31 03:42:30,0.000144,0.0000809
2025-08-31 03:42:45,0.000147,0.0000828
2025-08-31 03:43:00,0.000149,0.0000843
2025-08-31 03:43:15,0.000151,0.0000857
2025-08-31 03:43:30,0.000150,0.0000853
2025-08-31 03:43:45,0.000150,0.0000852
2025-08-31 03:44:00,0.000149,0.0000845
2025-08-31 03:44:15,0.000149,0.0000840
2025-08-31 03:44:30,0.000148,0.0000835
2025-08-31 03:44:45,0.000147,0.0000831
2025-08-31 03:45:00,0.000146,0.0000823
2025-08-31 03:45:15,0.000146,0.0000819
2025-08-31 03:45:30,0.000145,0.0000814
2025-08-31 03:45:45,0.000145,0.0000813
2025-08-31 03:46:00,0.000145,0.0000814
2025-08-31 03:46:15,0.000145,0.0000815
2025-08-31 03:46:30,0.000145,0.0000820
2025-08-31 03:46:45,0.000146,0.0000822
2025-08-31 03:47:00,0.000146,0.0000829
2025-08-31 03:47:15,0.000147,0.0000839
2025-08-31 03:47:30,0.000148,0.0000844
2025-08-31 03:47:45,0.000148,0.0000850
2025-08-31 03:48:00,0.000148,0.0000852
2025-08-31 03:48:15,0.000149,0.0000859
2025-08-31 03:48:30,0.000148,0.0000853
2025-08-31 03:48:45,0.000149,0.0000859
2025-08-31 03:49:00,0.000149,0.0000863

