sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000126,6.48e-7
2025-08-31 03:39:15,0.00000126,6.48e-7
2025-08-31 03:39:30,0.00000125,6.44e-7
2025-08-31 03:39:45,0.00000125,6.42e-7
2025-08-31 03:40:00,0.00000125,6.41e-7
2025-08-31 03:40:15,0.00000124,6.38e-7
2025-08-31 03:40:30,0.00000125,6.4e-7
2025-08-31 03:40:45,0.00000125,6.4e-7
2025-08-31 03:41:00,0.00000124,6.37e-7
2025-08-31 03:41:15,0.00000124,6.37e-7
2025-08-31 03:41:30,0.00000125,6.42e-7
2025-08-31 03:41:45,0.00000126,6.47e-7
2025-08-31 03:42:00,0.00000128,6.59e-7
2025-08-31 03:42:15,0.00000129,6.64e-7
2025-08-31 03:42:30,0.00000130,6.7e-7
2025-08-31 03:42:45,0.00000131,6.75e-7
2025-08-31 03:43:00,0.00000132,6.81e-7
2025-08-31 03:43:15,6.28e-7,3.61e-7
2025-08-31 03:43:30,6.2e-7,3.57e-7
2025-08-31 03:43:45,6.2e-7,3.57e-7
2025-08-31 03:44:00,6.12e-7,3.52e-7
2025-08-31 03:44:15,5.97e-7,3.43e-7
2025-08-31 03:44:30,5.95e-7,3.41e-7
2025-08-31 03:44:45,5.74e-7,3.29e-7
2025-08-31 03:45:00,5.38e-7,3.06e-7
2025-08-31 03:45:15,4.82e-7,2.73e-7
2025-08-31 03:45:30,4.52e-7,2.55e-7
2025-08-31 03:45:45,4.25e-7,2.38e-7
2025-08-31 03:46:00,3.88e-7,2.19e-7
2025-08-31 03:46:15,3.89e-7,2.2e-7
2025-08-31 03:46:30,3.89e-7,2.21e-7
2025-08-31 03:46:45,3.85e-7,2.18e-7
2025-08-31 03:47:00,3.86e-7,2.19e-7
2025-08-31 03:47:15,3.85e-7,2.2e-7
2025-08-31 03:47:30,3.83e-7,2.19e-7
2025-08-31 03:47:45,3.83e-7,2.2e-7
2025-08-31 03:48:00,3.85e-7,2.22e-7
2025-08-31 03:48:15,3.89e-7,2.25e-7
2025-08-31 03:48:30,3.85e-7,2.22e-7
2025-08-31 03:48:45,3.86e-7,2.24e-7
2025-08-31 03:49:00,3.84e-7,2.23e-7

