sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.000115,0.0000646
2025-08-31 03:39:15,0.000115,0.0000648
2025-08-31 03:39:30,0.000115,0.0000647
2025-08-31 03:39:45,0.000115,0.0000641
2025-08-31 03:40:00,0.000115,0.0000638
2025-08-31 03:40:15,0.000115,0.0000637
2025-08-31 03:40:30,0.000115,0.0000638
2025-08-31 03:40:45,0.000115,0.0000640
2025-08-31 03:41:00,0.000115,0.0000641
2025-08-31 03:41:15,0.000115,0.0000640
2025-08-31 03:41:30,0.000117,0.0000658
2025-08-31 03:41:45,0.000119,0.0000666
2025-08-31 03:42:00,0.000122,0.0000687
2025-08-31 03:42:15,0.000126,0.0000706
2025-08-31 03:42:30,0.000129,0.0000729
2025-08-31 03:42:45,0.000133,0.0000750
2025-08-31 03:43:00,0.000136,0.0000770
2025-08-31 03:43:15,0.000139,0.0000788
2025-08-31 03:43:30,0.000141,0.0000799
2025-08-31 03:43:45,0.000143,0.0000811
2025-08-31 03:44:00,0.000142,0.0000805
2025-08-31 03:44:15,0.000142,0.0000801
2025-08-31 03:44:30,0.000141,0.0000796
2025-08-31 03:44:45,0.000141,0.0000792
2025-08-31 03:45:00,0.000140,0.0000785
2025-08-31 03:45:15,0.000139,0.0000781
2025-08-31 03:45:30,0.000138,0.0000775
2025-08-31 03:45:45,0.000138,0.0000775
2025-08-31 03:46:00,0.000138,0.0000776
2025-08-31 03:46:15,0.000138,0.0000776
2025-08-31 03:46:30,0.000138,0.0000781
2025-08-31 03:46:45,0.000139,0.0000783
2025-08-31 03:47:00,0.000139,0.0000788
2025-08-31 03:47:15,0.000140,0.0000798
2025-08-31 03:47:30,0.000140,0.0000802
2025-08-31 03:47:45,0.000141,0.0000807
2025-08-31 03:48:00,0.000141,0.0000809
2025-08-31 03:48:15,0.000141,0.0000816
2025-08-31 03:48:30,0.000141,0.0000810
2025-08-31 03:48:45,0.000141,0.0000816
2025-08-31 03:49:00,0.000142,0.0000819

