sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.000137,0.0000759
2025-08-31 03:39:15,0.000138,0.0000759
2025-08-31 03:39:30,0.000137,0.0000755
2025-08-31 03:39:45,0.000136,0.0000747
2025-08-31 03:40:00,0.000136,0.0000742
2025-08-31 03:40:15,0.000135,0.0000740
2025-08-31 03:40:30,0.000135,0.0000739
2025-08-31 03:40:45,0.000136,0.0000740
2025-08-31 03:41:00,0.000135,0.0000739
2025-08-31 03:41:15,0.000135,0.0000737
2025-08-31 03:41:30,0.000137,0.0000754
2025-08-31 03:41:45,0.000138,0.0000758
2025-08-31 03:42:00,0.000141,0.0000779
2025-08-31 03:42:15,0.000141,0.0000786
2025-08-31 03:42:30,0.000143,0.0000799
2025-08-31 03:42:45,0.000143,0.0000804
2025-08-31 03:43:00,0.000143,0.0000807
2025-08-31 03:43:15,0.000144,0.0000815
2025-08-31 03:43:30,0.000143,0.0000812
2025-08-31 03:43:45,0.000143,0.0000811
2025-08-31 03:44:00,0.000142,0.0000805
2025-08-31 03:44:15,0.000142,0.0000800
2025-08-31 03:44:30,0.000141,0.0000795
2025-08-31 03:44:45,0.000140,0.0000792
2025-08-31 03:45:00,0.000140,0.0000784
2025-08-31 03:45:15,0.000139,0.0000780
2025-08-31 03:45:30,0.000138,0.0000775
2025-08-31 03:45:45,0.000138,0.0000774
2025-08-31 03:46:00,0.000138,0.0000775
2025-08-31 03:46:15,0.000138,0.0000776
2025-08-31 03:46:30,0.000138,0.0000780
2025-08-31 03:46:45,0.000138,0.0000782
2025-08-31 03:47:00,0.000139,0.0000788
2025-08-31 03:47:15,0.000140,0.0000797
2025-08-31 03:47:30,0.000140,0.0000801
2025-08-31 03:47:45,0.000140,0.0000806
2025-08-31 03:48:00,0.000141,0.0000809
2025-08-31 03:48:15,0.000141,0.0000815
2025-08-31 03:48:30,0.000141,0.0000809
2025-08-31 03:48:45,0.000141,0.0000815
2025-08-31 03:49:00,0.000142,0.0000819

