sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000229,0.00000108
2025-08-31 03:39:15,0.00000220,0.00000103
2025-08-31 03:39:30,0.00000212,9.78e-7
2025-08-31 03:39:45,0.00000206,9.41e-7
2025-08-31 03:40:00,0.00000206,9.4e-7
2025-08-31 03:40:15,0.00000201,9.1e-7
2025-08-31 03:40:30,0.00000202,9.12e-7
2025-08-31 03:40:45,0.00000203,9.18e-7
2025-08-31 03:41:00,0.00000202,9.15e-7
2025-08-31 03:41:15,0.00000192,8.62e-7
2025-08-31 03:41:30,0.00000196,8.89e-7
2025-08-31 03:41:45,0.00000203,9.28e-7
2025-08-31 03:42:00,0.00000214,9.97e-7
2025-08-31 03:42:15,0.00000169,9.68e-7
2025-08-31 03:42:30,0.00000171,9.81e-7
2025-08-31 03:42:45,0.00000177,0.00000102
2025-08-31 03:43:00,0.00000179,0.00000103
2025-08-31 03:43:15,0.00000180,0.00000104
2025-08-31 03:43:30,0.00000181,0.00000105
2025-08-31 03:43:45,0.00000183,0.00000106
2025-08-31 03:44:00,0.00000183,0.00000106
2025-08-31 03:44:15,0.00000181,0.00000104
2025-08-31 03:44:30,0.00000182,0.00000105
2025-08-31 03:44:45,0.00000182,0.00000105
2025-08-31 03:45:00,0.00000176,0.00000101
2025-08-31 03:45:15,0.00000163,9.31e-7
2025-08-31 03:45:30,0.00000160,9.1e-7
2025-08-31 03:45:45,0.00000148,8.39e-7
2025-08-31 03:46:00,0.00000146,8.3e-7
2025-08-31 03:46:15,0.00000132,7.48e-7
2025-08-31 03:46:30,0.00000131,7.47e-7
2025-08-31 03:46:45,0.00000130,7.43e-7
2025-08-31 03:47:00,0.00000131,7.47e-7
2025-08-31 03:47:15,0.00000133,7.66e-7
2025-08-31 03:47:30,0.00000137,7.94e-7
2025-08-31 03:47:45,0.00000137,7.97e-7
2025-08-31 03:48:00,0.00000143,8.29e-7
2025-08-31 03:48:15,0.00000143,8.29e-7
2025-08-31 03:48:30,0.00000142,8.19e-7
2025-08-31 03:48:45,0.00000143,8.3e-7
2025-08-31 03:49:00,0.00000143,8.32e-7

