sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000153,8.8e-7
2025-08-31 03:39:15,0.00000153,8.78e-7
2025-08-31 03:39:30,0.00000153,8.77e-7
2025-08-31 03:39:45,0.00000153,8.75e-7
2025-08-31 03:40:00,0.00000153,8.73e-7
2025-08-31 03:40:15,0.00000153,8.72e-7
2025-08-31 03:40:30,0.00000152,8.7e-7
2025-08-31 03:40:45,0.00000153,8.74e-7
2025-08-31 03:41:00,0.00000153,8.74e-7
2025-08-31 03:41:15,0.00000153,8.74e-7
2025-08-31 03:41:30,0.00000154,8.8e-7
2025-08-31 03:41:45,0.00000155,8.85e-7
2025-08-31 03:42:00,0.00000156,8.92e-7
2025-08-31 03:42:15,0.00000157,8.97e-7
2025-08-31 03:42:30,0.00000158,9.06e-7
2025-08-31 03:42:45,0.00000159,9.12e-7
2025-08-31 03:43:00,0.00000160,9.18e-7
2025-08-31 03:43:15,0.00000161,9.21e-7
2025-08-31 03:43:30,6.71e-7,3.9e-7
2025-08-31 03:43:45,6.63e-7,3.85e-7
2025-08-31 03:44:00,6.51e-7,3.77e-7
2025-08-31 03:44:15,6.68e-7,3.86e-7
2025-08-31 03:44:30,6.64e-7,3.83e-7
2025-08-31 03:44:45,6.52e-7,3.76e-7
2025-08-31 03:45:00,6.41e-7,3.69e-7
2025-08-31 03:45:15,5.98e-7,3.43e-7
2025-08-31 03:45:30,5.37e-7,3.06e-7
2025-08-31 03:45:45,4.81e-7,2.71e-7
2025-08-31 03:46:00,4.66e-7,2.64e-7
2025-08-31 03:46:15,4.6e-7,2.6e-7
2025-08-31 03:46:30,4.61e-7,2.62e-7
2025-08-31 03:46:45,4.58e-7,2.6e-7
2025-08-31 03:47:00,4.56e-7,2.6e-7
2025-08-31 03:47:15,4.59e-7,2.63e-7
2025-08-31 03:47:30,4.57e-7,2.63e-7
2025-08-31 03:47:45,4.59e-7,2.64e-7
2025-08-31 03:48:00,4.85e-7,2.79e-7
2025-08-31 03:48:15,4.95e-7,2.87e-7
2025-08-31 03:48:30,4.88e-7,2.82e-7
2025-08-31 03:48:45,4.91e-7,2.84e-7
2025-08-31 03:49:00,4.92e-7,2.85e-7

