sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.000119,0.0000663
2025-08-31 03:39:15,0.000119,0.0000665
2025-08-31 03:39:30,0.000119,0.0000664
2025-08-31 03:39:45,0.000119,0.0000658
2025-08-31 03:40:00,0.000119,0.0000655
2025-08-31 03:40:15,0.000119,0.0000654
2025-08-31 03:40:30,0.000119,0.0000655
2025-08-31 03:40:45,0.000119,0.0000657
2025-08-31 03:41:00,0.000119,0.0000658
2025-08-31 03:41:15,0.000120,0.0000661
2025-08-31 03:41:30,0.000119,0.0000674
2025-08-31 03:41:45,0.000117,0.0000654
2025-08-31 03:42:00,0.000120,0.0000675
2025-08-31 03:42:15,0.000123,0.0000695
2025-08-31 03:42:30,0.000127,0.0000718
2025-08-31 03:42:45,0.000131,0.0000739
2025-08-31 03:43:00,0.000134,0.0000759
2025-08-31 03:43:15,0.000138,0.0000781
2025-08-31 03:43:30,0.000140,0.0000794
2025-08-31 03:43:45,0.000142,0.0000808
2025-08-31 03:44:00,0.000142,0.0000805
2025-08-31 03:44:15,0.000142,0.0000800
2025-08-31 03:44:30,0.000141,0.0000795
2025-08-31 03:44:45,0.000141,0.0000792
2025-08-31 03:45:00,0.000140,0.0000784
2025-08-31 03:45:15,0.000139,0.0000781
2025-08-31 03:45:30,0.000138,0.0000775
2025-08-31 03:45:45,0.000138,0.0000774
2025-08-31 03:46:00,0.000138,0.0000775
2025-08-31 03:46:15,0.000138,0.0000776
2025-08-31 03:46:30,0.000138,0.0000780
2025-08-31 03:46:45,0.000139,0.0000782
2025-08-31 03:47:00,0.000139,0.0000788
2025-08-31 03:47:15,0.000140,0.0000797
2025-08-31 03:47:30,0.000140,0.0000801
2025-08-31 03:47:45,0.000141,0.0000807
2025-08-31 03:48:00,0.000141,0.0000809
2025-08-31 03:48:15,0.000141,0.0000815
2025-08-31 03:48:30,0.000141,0.0000809
2025-08-31 03:48:45,0.000141,0.0000815
2025-08-31 03:49:00,0.000142,0.0000819

