sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.00000144,8.07e-7
2025-08-31 03:39:15,0.00000139,7.81e-7
2025-08-31 03:39:30,0.00000134,7.5e-7
2025-08-31 03:39:45,0.00000129,7.23e-7
2025-08-31 03:40:00,0.00000131,7.28e-7
2025-08-31 03:40:15,0.00000134,7.45e-7
2025-08-31 03:40:30,0.00000137,7.58e-7
2025-08-31 03:40:45,0.00000136,7.53e-7
2025-08-31 03:41:00,0.00000135,7.5e-7
2025-08-31 03:41:15,0.00000136,7.58e-7
2025-08-31 03:41:30,0.00000138,7.66e-7
2025-08-31 03:41:45,0.00000141,7.87e-7
2025-08-31 03:42:00,0.00000145,8.08e-7
2025-08-31 03:42:15,9.61e-7,5.31e-7
2025-08-31 03:42:30,8.94e-7,5.04e-7
2025-08-31 03:42:45,8.91e-7,5.03e-7
2025-08-31 03:43:00,8.57e-7,4.89e-7
2025-08-31 03:43:15,8.68e-7,4.97e-7
2025-08-31 03:43:30,8.47e-7,4.86e-7
2025-08-31 03:43:45,8.59e-7,4.93e-7
2025-08-31 03:44:00,8.53e-7,4.89e-7
2025-08-31 03:44:15,8.43e-7,4.82e-7
2025-08-31 03:44:30,7.98e-7,4.55e-7
2025-08-31 03:44:45,7.72e-7,4.39e-7
2025-08-31 03:45:00,7.63e-7,4.34e-7
2025-08-31 03:45:15,7.6e-7,4.32e-7
2025-08-31 03:45:30,7.71e-7,4.37e-7
2025-08-31 03:45:45,7.76e-7,4.4e-7
2025-08-31 03:46:00,7.73e-7,4.39e-7
2025-08-31 03:46:15,8.05e-7,4.58e-7
2025-08-31 03:46:30,8.4e-7,4.79e-7
2025-08-31 03:46:45,8.65e-7,4.94e-7
2025-08-31 03:47:00,9.03e-7,5.18e-7
2025-08-31 03:47:15,9.37e-7,5.42e-7
2025-08-31 03:47:30,0.00000104,6.01e-7
2025-08-31 03:47:45,0.00000116,6.73e-7
2025-08-31 03:48:00,0.00000121,7e-7
2025-08-31 03:48:15,0.00000129,7.49e-7
2025-08-31 03:48:30,0.00000137,7.91e-7
2025-08-31 03:48:45,0.00000153,8.9e-7
2025-08-31 03:49:00,0.00000167,9.71e-7

