sep=,
"Time","PKG","CORE"
2025-08-31 03:39:00,0.0000599,0.0000335
2025-08-31 03:39:15,0.0000573,0.0000321
2025-08-31 03:39:30,0.0000544,0.0000303
2025-08-31 03:39:45,0.0000529,0.0000293
2025-08-31 03:40:00,0.0000550,0.0000304
2025-08-31 03:40:15,0.0000582,0.0000321
2025-08-31 03:40:30,0.0000597,0.0000329
2025-08-31 03:40:45,0.0000598,0.0000330
2025-08-31 03:41:00,0.0000596,0.0000329
2025-08-31 03:41:15,0.0000602,0.0000332
2025-08-31 03:41:30,0.0000598,0.0000331
2025-08-31 03:41:45,0.0000604,0.0000335
2025-08-31 03:42:00,0.0000611,0.0000340
2025-08-31 03:42:15,0.0000586,0.0000332
2025-08-31 03:42:30,0.0000573,0.0000327
2025-08-31 03:42:45,0.0000553,0.0000316
2025-08-31 03:43:00,0.0000518,0.0000299
2025-08-31 03:43:15,0.0000492,0.0000287
2025-08-31 03:43:30,0.0000457,0.0000268
2025-08-31 03:43:45,0.0000424,0.0000248
2025-08-31 03:44:00,0.0000382,0.0000223
2025-08-31 03:44:15,0.0000346,0.0000201
2025-08-31 03:44:30,0.0000306,0.0000176
2025-08-31 03:44:45,0.0000279,0.0000160
2025-08-31 03:45:00,0.0000250,0.0000142
2025-08-31 03:45:15,0.0000225,0.0000127
2025-08-31 03:45:30,0.0000201,0.0000113
2025-08-31 03:45:45,0.0000189,0.0000105
2025-08-31 03:46:00,0.0000191,0.0000106
2025-08-31 03:46:15,0.0000195,0.0000108
2025-08-31 03:46:30,0.0000200,0.0000111
2025-08-31 03:46:45,0.0000203,0.0000113
2025-08-31 03:47:00,0.0000209,0.0000117
2025-08-31 03:47:15,0.0000216,0.0000121
2025-08-31 03:47:30,0.0000235,0.0000133
2025-08-31 03:47:45,0.0000257,0.0000145
2025-08-31 03:48:00,0.0000265,0.0000150
2025-08-31 03:48:15,0.0000274,0.0000155
2025-08-31 03:48:30,0.0000280,0.0000159
2025-08-31 03:48:45,0.0000300,0.0000170
2025-08-31 03:49:00,0.0000317,0.0000180

