sep=,
"Time","PKG","CORE"
2025-08-16 18:08:00,0.00000434,0.00000230
2025-08-16 18:08:15,0.00000444,0.00000235
2025-08-16 18:08:30,0.00000453,0.00000240
2025-08-16 18:08:45,0.00000463,0.00000245
2025-08-16 18:09:00,0.00000490,0.00000259
2025-08-16 18:09:15,0.00000500,0.00000265
2025-08-16 18:09:30,0.00000510,0.00000270
2025-08-16 18:09:45,0.00000520,0.00000275
2025-08-16 18:10:00,0.00000671,0.00000362
2025-08-16 18:10:15,0.00000684,0.00000369
2025-08-16 18:10:30,0.00000696,0.00000376
2025-08-16 18:10:45,0.00000709,0.00000383
2025-08-16 18:11:00,0.00000962,0.00000522
2025-08-16 18:11:15,0.00000978,0.00000531
2025-08-16 18:11:30,0.00000995,0.00000540
2025-08-16 18:11:45,0.0000101,0.00000549
2025-08-16 18:12:00,0.0000131,0.00000730
2025-08-16 18:12:15,0.0000133,0.00000741
2025-08-16 18:12:30,0.0000135,0.00000753
2025-08-16 18:12:45,0.0000137,0.00000765
2025-08-16 18:13:00,0.0000165,0.00000913
2025-08-16 18:13:15,0.0000168,0.00000926
2025-08-16 18:13:30,0.0000170,0.00000940
2025-08-16 18:13:45,0.0000173,0.00000954
2025-08-16 18:14:00,0.0000201,0.0000111
2025-08-16 18:14:15,0.0000204,0.0000112
2025-08-16 18:14:30,0.0000207,0.0000114
2025-08-16 18:14:45,0.0000210,0.0000116
2025-08-16 18:15:00,0.0000248,0.0000139
2025-08-16 18:15:15,0.0000252,0.0000141
2025-08-16 18:15:30,0.0000255,0.0000143
2025-08-16 18:15:45,0.0000258,0.0000145
2025-08-16 18:16:00,0.0000289,0.0000162
2025-08-16 18:16:15,0.0000293,0.0000164
2025-08-16 18:16:30,0.0000296,0.0000166
2025-08-16 18:16:45,0.0000300,0.0000168
2025-08-16 18:17:00,0.0000331,0.0000186
2025-08-16 18:17:15,0.0000335,0.0000188
2025-08-16 18:17:30,0.0000339,0.0000190
2025-08-16 18:17:45,0.0000343,0.0000193
2025-08-16 18:18:00,0.0000337,0.0000190

