sep=,
"Time","PKG","CORE"
2025-08-27 22:40:00,0.00000213,8.92e-7
2025-08-27 22:40:15,0.00000216,9.15e-7
2025-08-27 22:40:30,0.00000219,9.35e-7
2025-08-27 22:40:45,0.00000221,9.53e-7
2025-08-27 22:41:00,0.00000222,9.6e-7
2025-08-27 22:41:15,0.00000224,9.72e-7
2025-08-27 22:41:30,0.00000229,0.00000101
2025-08-27 22:41:45,0.00000233,0.00000103
2025-08-27 22:42:00,0.00000236,0.00000104
2025-08-27 22:42:15,0.00000238,0.00000106
2025-08-27 22:42:30,0.00000238,0.00000106
2025-08-27 22:42:45,0.00000244,0.00000110
2025-08-27 22:43:00,0.00000250,0.00000113
2025-08-27 22:43:15,0.00000255,0.00000117
2025-08-27 22:43:30,0.00000259,0.00000120
2025-08-27 22:43:45,0.00000262,0.00000122
2025-08-27 22:44:00,0.00000265,0.00000124
2025-08-27 22:44:15,0.00000268,0.00000126
2025-08-27 22:44:30,0.00000136,8.21e-7
2025-08-27 22:44:45,0.00000123,7.77e-7
2025-08-27 22:45:00,0.00000123,7.84e-7
2025-08-27 22:45:15,0.00000124,7.93e-7
2025-08-27 22:45:30,0.00000122,7.81e-7
2025-08-27 22:45:45,0.00000115,7.33e-7
2025-08-27 22:46:00,0.00000116,7.44e-7
2025-08-27 22:46:15,0.00000111,7.16e-7
2025-08-27 22:46:30,0.00000110,7.1e-7
2025-08-27 22:46:45,0.00000110,7.08e-7
2025-08-27 22:47:00,0.00000110,7.09e-7
2025-08-27 22:47:15,0.00000117,7.63e-7
2025-08-27 22:47:30,0.00000134,8.22e-7
2025-08-27 22:47:45,0.00000150,9.1e-7
2025-08-27 22:48:00,0.00000151,9.13e-7
2025-08-27 22:48:15,0.00000151,9.13e-7
2025-08-27 22:48:30,0.00000154,9.28e-7
2025-08-27 22:48:45,0.00000167,9.78e-7
2025-08-27 22:49:00,0.00000193,0.00000112
2025-08-27 22:49:15,0.00000196,0.00000113
2025-08-27 22:49:30,0.00000197,0.00000114
2025-08-27 22:49:45,0.00000198,0.00000114
2025-08-27 22:50:00,0.00000198,0.00000114

