sep=,
"Time","PKG","CORE"
2025-08-27 22:40:00,7.61e-7,4.08e-7
2025-08-27 22:40:15,7.71e-7,4.15e-7
2025-08-27 22:40:30,7.82e-7,4.23e-7
2025-08-27 22:40:45,7.98e-7,4.33e-7
2025-08-27 22:41:00,8.08e-7,4.4e-7
2025-08-27 22:41:15,8.2e-7,4.49e-7
2025-08-27 22:41:30,8.25e-7,4.52e-7
2025-08-27 22:41:45,8.36e-7,4.58e-7
2025-08-27 22:42:00,8.47e-7,4.66e-7
2025-08-27 22:42:15,8.62e-7,4.75e-7
2025-08-27 22:42:30,8.74e-7,4.83e-7
2025-08-27 22:42:45,8.87e-7,4.9e-7
2025-08-27 22:43:00,8.97e-7,4.97e-7
2025-08-27 22:43:15,9.08e-7,5.04e-7
2025-08-27 22:43:30,9.2e-7,5.13e-7
2025-08-27 22:43:45,9.34e-7,5.23e-7
2025-08-27 22:44:00,9.5e-7,5.34e-7
2025-08-27 22:44:15,9.57e-7,5.39e-7
2025-08-27 22:44:30,9.71e-7,5.49e-7
2025-08-27 22:44:45,6.87e-7,4.08e-7
2025-08-27 22:45:00,4.88e-7,3.04e-7
2025-08-27 22:45:15,4.41e-7,2.85e-7
2025-08-27 22:45:30,4.4e-7,2.84e-7
2025-08-27 22:45:45,4.3e-7,2.77e-7
2025-08-27 22:46:00,4.33e-7,2.79e-7
2025-08-27 22:46:15,4.32e-7,2.78e-7
2025-08-27 22:46:30,4.24e-7,2.74e-7
2025-08-27 22:46:45,4.28e-7,2.77e-7
2025-08-27 22:47:00,4.33e-7,2.8e-7
2025-08-27 22:47:15,4.39e-7,2.86e-7
2025-08-27 22:47:30,4.36e-7,2.83e-7
2025-08-27 22:47:45,4.35e-7,2.82e-7
2025-08-27 22:48:00,4.37e-7,2.82e-7
2025-08-27 22:48:15,4.38e-7,2.82e-7
2025-08-27 22:48:30,4.43e-7,2.85e-7
2025-08-27 22:48:45,4.45e-7,2.85e-7
2025-08-27 22:49:00,4.4e-7,2.8e-7
2025-08-27 22:49:15,4.42e-7,2.8e-7
2025-08-27 22:49:30,4.38e-7,2.78e-7
2025-08-27 22:49:45,4.47e-7,2.83e-7
2025-08-27 22:50:00,4.44e-7,2.81e-7

