sep=,
"Time","PKG","CORE"
2025-08-27 22:40:00,0.0000261,0.0000160
2025-08-27 22:40:15,0.0000275,0.0000170
2025-08-27 22:40:30,0.0000290,0.0000181
2025-08-27 22:40:45,0.0000308,0.0000193
2025-08-27 22:41:00,0.0000322,0.0000203
2025-08-27 22:41:15,0.0000338,0.0000213
2025-08-27 22:41:30,0.0000348,0.0000219
2025-08-27 22:41:45,0.0000358,0.0000225
2025-08-27 22:42:00,0.0000371,0.0000234
2025-08-27 22:42:15,0.0000385,0.0000243
2025-08-27 22:42:30,0.0000400,0.0000252
2025-08-27 22:42:45,0.0000413,0.0000260
2025-08-27 22:43:00,0.0000426,0.0000269
2025-08-27 22:43:15,0.0000441,0.0000279
2025-08-27 22:43:30,0.0000455,0.0000289
2025-08-27 22:43:45,0.0000470,0.0000300
2025-08-27 22:44:00,0.0000485,0.0000310
2025-08-27 22:44:15,0.0000499,0.0000320
2025-08-27 22:44:30,0.0000512,0.0000329
2025-08-27 22:44:45,0.0000524,0.0000338
2025-08-27 22:45:00,0.0000522,0.0000338
2025-08-27 22:45:15,0.0000522,0.0000339
2025-08-27 22:45:30,0.0000521,0.0000339
2025-08-27 22:45:45,0.0000516,0.0000335
2025-08-27 22:46:00,0.0000517,0.0000336
2025-08-27 22:46:15,0.0000511,0.0000333
2025-08-27 22:46:30,0.0000510,0.0000332
2025-08-27 22:46:45,0.0000511,0.0000334
2025-08-27 22:47:00,0.0000512,0.0000334
2025-08-27 22:47:15,0.0000517,0.0000339
2025-08-27 22:47:30,0.0000515,0.0000336
2025-08-27 22:47:45,0.0000514,0.0000335
2025-08-27 22:48:00,0.0000513,0.0000334
2025-08-27 22:48:15,0.0000511,0.0000332
2025-08-27 22:48:30,0.0000513,0.0000333
2025-08-27 22:48:45,0.0000509,0.0000329
2025-08-27 22:49:00,0.0000506,0.0000326
2025-08-27 22:49:15,0.0000503,0.0000323
2025-08-27 22:49:30,0.0000503,0.0000323
2025-08-27 22:49:45,0.0000504,0.0000323
2025-08-27 22:50:00,0.0000502,0.0000321

