sep=,
"Time","PKG","CORE"
2025-08-27 22:40:00,0.00000354,8.24e-7
2025-08-27 22:40:15,0.00000351,8.08e-7
2025-08-27 22:40:30,0.00000350,8.23e-7
2025-08-27 22:40:45,0.00000348,8.22e-7
2025-08-27 22:41:00,0.00000342,8.2e-7
2025-08-27 22:41:15,0.00000284,7.59e-7
2025-08-27 22:41:30,0.00000243,7.14e-7
2025-08-27 22:41:45,0.00000240,7.14e-7
2025-08-27 22:42:00,0.00000239,7.29e-7
2025-08-27 22:42:15,0.00000241,7.65e-7
2025-08-27 22:42:30,0.00000242,7.83e-7
2025-08-27 22:42:45,0.00000241,8.11e-7
2025-08-27 22:43:00,0.00000222,8.54e-7
2025-08-27 22:43:15,0.00000197,8.74e-7
2025-08-27 22:43:30,0.00000145,7.29e-7
2025-08-27 22:43:45,0.00000133,7.38e-7
2025-08-27 22:44:00,0.00000117,7.02e-7
2025-08-27 22:44:15,0.00000114,7.04e-7
2025-08-27 22:44:30,0.00000113,7.08e-7
2025-08-27 22:44:45,0.00000115,7.26e-7
2025-08-27 22:45:00,0.00000115,7.31e-7
2025-08-27 22:45:15,0.00000117,7.43e-7
2025-08-27 22:45:30,0.00000117,7.45e-7
2025-08-27 22:45:45,0.00000118,7.47e-7
2025-08-27 22:46:00,0.00000117,7.45e-7
2025-08-27 22:46:15,0.00000118,7.48e-7
2025-08-27 22:46:30,0.00000118,7.5e-7
2025-08-27 22:46:45,0.00000116,7.43e-7
2025-08-27 22:47:00,0.00000116,7.43e-7
2025-08-27 22:47:15,0.00000123,7.93e-7
2025-08-27 22:47:30,0.00000121,7.83e-7
2025-08-27 22:47:45,0.00000121,7.76e-7
2025-08-27 22:48:00,0.00000130,8.32e-7
2025-08-27 22:48:15,0.00000130,8.31e-7
2025-08-27 22:48:30,0.00000130,8.34e-7
2025-08-27 22:48:45,0.00000130,8.27e-7
2025-08-27 22:49:00,0.00000128,8.14e-7
2025-08-27 22:49:15,0.00000128,8.15e-7
2025-08-27 22:49:30,0.00000129,8.17e-7
2025-08-27 22:49:45,0.00000129,8.19e-7
2025-08-27 22:50:00,0.00000128,8.13e-7

