sep=,
"Time","PKG","CORE"
2025-08-31 01:07:00,0.0000254,0.00000227
2025-08-31 01:07:15,0.0000250,0.00000219
2025-08-31 01:07:30,0.0000242,0.00000220
2025-08-31 01:07:45,0.0000229,0.00000204
2025-08-31 01:08:00,0.0000228,0.00000206
2025-08-31 01:08:15,0.0000226,0.00000193
2025-08-31 01:08:30,0.0000221,0.00000190
2025-08-31 01:08:45,0.0000207,0.00000169
2025-08-31 01:09:00,0.0000207,0.00000174
2025-08-31 01:09:15,0.0000191,0.00000167
2025-08-31 01:09:30,0.0000176,0.00000171
2025-08-31 01:09:45,0.0000164,0.00000172
2025-08-31 01:10:00,0.0000140,0.00000174
2025-08-31 01:10:15,0.00000827,0.00000177
2025-08-31 01:10:30,0.00000501,0.00000180
2025-08-31 01:10:45,0.00000411,0.00000180
2025-08-31 01:11:00,0.00000321,0.00000177
2025-08-31 01:11:15,0.00000307,0.00000176
2025-08-31 01:11:30,0.00000306,0.00000177
2025-08-31 01:11:45,0.00000309,0.00000180
2025-08-31 01:12:00,0.00000308,0.00000181
2025-08-31 01:12:15,0.00000304,0.00000179
2025-08-31 01:12:30,0.00000304,0.00000179
2025-08-31 01:12:45,0.00000302,0.00000178
2025-08-31 01:13:00,0.00000303,0.00000179
2025-08-31 01:13:15,0.00000302,0.00000178
2025-08-31 01:13:30,0.00000304,0.00000180
2025-08-31 01:13:45,0.00000303,0.00000180
2025-08-31 01:14:00,0.00000303,0.00000180
2025-08-31 01:14:15,0.00000302,0.00000179
2025-08-31 01:14:30,0.00000257,0.00000160
2025-08-31 01:14:45,0.00000251,0.00000156
2025-08-31 01:15:00,0.00000246,0.00000154
2025-08-31 01:15:15,0.00000240,0.00000149
2025-08-31 01:15:30,0.00000236,0.00000146
2025-08-31 01:15:45,0.00000233,0.00000144
2025-08-31 01:16:00,0.00000230,0.00000142
2025-08-31 01:16:15,0.00000230,0.00000142
2025-08-31 01:16:30,0.00000224,0.00000138
2025-08-31 01:16:45,0.00000219,0.00000134
2025-08-31 01:17:00,0.00000216,0.00000132

