sep=,
"Time","PKG","CORE"
2025-08-31 01:07:00,6.42e-7,3.74e-7
2025-08-31 01:07:15,6.53e-7,3.81e-7
2025-08-31 01:07:30,6.63e-7,3.87e-7
2025-08-31 01:07:45,6.76e-7,3.96e-7
2025-08-31 01:08:00,6.86e-7,4.02e-7
2025-08-31 01:08:15,6.96e-7,4.09e-7
2025-08-31 01:08:30,7.1e-7,4.18e-7
2025-08-31 01:08:45,7.19e-7,4.24e-7
2025-08-31 01:09:00,7.28e-7,4.29e-7
2025-08-31 01:09:15,7.42e-7,4.37e-7
2025-08-31 01:09:30,7.53e-7,4.45e-7
2025-08-31 01:09:45,7.67e-7,4.54e-7
2025-08-31 01:10:00,7.87e-7,4.66e-7
2025-08-31 01:10:15,8.06e-7,4.79e-7
2025-08-31 01:10:30,8.18e-7,4.86e-7
2025-08-31 01:10:45,8.31e-7,4.94e-7
2025-08-31 01:11:00,8.64e-7,5.15e-7
2025-08-31 01:11:15,8.81e-7,5.26e-7
2025-08-31 01:11:30,8.9e-7,5.31e-7
2025-08-31 01:11:45,9.04e-7,5.4e-7
2025-08-31 01:12:00,9.1e-7,5.44e-7
2025-08-31 01:12:15,9.24e-7,5.53e-7
2025-08-31 01:12:30,9.33e-7,5.58e-7
2025-08-31 01:12:45,7.24e-7,4.34e-7
2025-08-31 01:13:00,7.58e-7,4.57e-7
2025-08-31 01:13:15,7.79e-7,4.69e-7
2025-08-31 01:13:30,8.14e-7,4.93e-7
2025-08-31 01:13:45,8.27e-7,5.04e-7
2025-08-31 01:14:00,8.44e-7,5.17e-7
2025-08-31 01:14:15,8.04e-7,5e-7
2025-08-31 01:14:30,7.87e-7,4.92e-7
2025-08-31 01:14:45,7.7e-7,4.82e-7
2025-08-31 01:15:00,7.64e-7,4.79e-7
2025-08-31 01:15:15,7.65e-7,4.79e-7
2025-08-31 01:15:30,7.6e-7,4.74e-7
2025-08-31 01:15:45,7.63e-7,4.76e-7
2025-08-31 01:16:00,7.59e-7,4.73e-7
2025-08-31 01:16:15,7.55e-7,4.69e-7
2025-08-31 01:16:30,7.56e-7,4.69e-7
2025-08-31 01:16:45,7.49e-7,4.63e-7
2025-08-31 01:17:00,7.43e-7,4.59e-7

