sep=,
"Time","PKG","CORE"
2025-08-31 02:14:00,0.00000182,9.52e-7
2025-08-31 02:14:15,0.00000180,9.39e-7
2025-08-31 02:14:30,0.00000180,9.37e-7
2025-08-31 02:14:45,0.00000181,9.43e-7
2025-08-31 02:15:00,0.00000181,9.47e-7
2025-08-31 02:15:15,0.00000181,9.41e-7
2025-08-31 02:15:30,0.00000180,9.37e-7
2025-08-31 02:15:45,0.00000178,9.24e-7
2025-08-31 02:16:00,0.00000178,9.23e-7
2025-08-31 02:16:15,0.00000179,9.25e-7
2025-08-31 02:16:30,0.00000179,9.31e-7
2025-08-31 02:16:45,0.00000184,9.62e-7
2025-08-31 02:17:00,0.00000190,0.00000100
2025-08-31 02:17:15,0.00000192,0.00000101
2025-08-31 02:17:30,0.00000194,0.00000103
2025-08-31 02:17:45,0.00000195,0.00000103
2025-08-31 02:18:00,0.00000199,0.00000106
2025-08-31 02:18:15,0.00000201,0.00000107
2025-08-31 02:18:30,0.00000203,0.00000109
2025-08-31 02:18:45,0.00000207,0.00000112
2025-08-31 02:19:00,0.00000209,0.00000113
2025-08-31 02:19:15,0.00000211,0.00000115
2025-08-31 02:19:30,0.00000146,8.72e-7
2025-08-31 02:19:45,0.00000111,7.24e-7
2025-08-31 02:20:00,0.00000112,7.34e-7
2025-08-31 02:20:15,0.00000113,7.37e-7
2025-08-31 02:20:30,0.00000112,7.37e-7
2025-08-31 02:20:45,0.00000113,7.43e-7
2025-08-31 02:21:00,0.00000109,7.13e-7
2025-08-31 02:21:15,0.00000109,7.12e-7
2025-08-31 02:21:30,0.00000103,6.81e-7
2025-08-31 02:21:45,9.67e-7,6.42e-7
2025-08-31 02:22:00,9.42e-7,6.24e-7
2025-08-31 02:22:15,9.42e-7,6.22e-7
2025-08-31 02:22:30,0.00000100,6.57e-7
2025-08-31 02:22:45,0.00000111,7.19e-7
2025-08-31 02:23:00,0.00000116,7.49e-7
2025-08-31 02:23:15,0.00000115,7.43e-7
2025-08-31 02:23:30,0.00000115,7.43e-7
2025-08-31 02:23:45,0.00000115,7.41e-7
2025-08-31 02:24:00,0.00000114,7.37e-7

