sep=,
"Time","PKG","CORE"
2025-08-31 02:14:00,0.000145,0.0000952
2025-08-31 02:14:15,0.000144,0.0000945
2025-08-31 02:14:30,0.000144,0.0000941
2025-08-31 02:14:45,0.000144,0.0000940
2025-08-31 02:15:00,0.000145,0.0000944
2025-08-31 02:15:15,0.000144,0.0000938
2025-08-31 02:15:30,0.000143,0.0000927
2025-08-31 02:15:45,0.000143,0.0000927
2025-08-31 02:16:00,0.000143,0.0000926
2025-08-31 02:16:15,0.000143,0.0000926
2025-08-31 02:16:30,0.000143,0.0000925
2025-08-31 02:16:45,0.000143,0.0000919
2025-08-31 02:17:00,0.000142,0.0000917
2025-08-31 02:17:15,0.000138,0.0000902
2025-08-31 02:17:30,0.000142,0.0000931
2025-08-31 02:17:45,0.000147,0.0000965
2025-08-31 02:18:00,0.000153,0.000100
2025-08-31 02:18:15,0.000158,0.000104
2025-08-31 02:18:30,0.000163,0.000108
2025-08-31 02:18:45,0.000168,0.000111
2025-08-31 02:19:00,0.000173,0.000115
2025-08-31 02:19:15,0.000179,0.000118
2025-08-31 02:19:30,0.000183,0.000122
2025-08-31 02:19:45,0.000187,0.000124
2025-08-31 02:20:00,0.000189,0.000126
2025-08-31 02:20:15,0.000190,0.000127
2025-08-31 02:20:30,0.000190,0.000127
2025-08-31 02:20:45,0.000191,0.000128
2025-08-31 02:21:00,0.000191,0.000128
2025-08-31 02:21:15,0.000192,0.000129
2025-08-31 02:21:30,0.000191,0.000128
2025-08-31 02:21:45,0.000192,0.000128
2025-08-31 02:22:00,0.000191,0.000128
2025-08-31 02:22:15,0.000190,0.000127
2025-08-31 02:22:30,0.000190,0.000127
2025-08-31 02:22:45,0.000189,0.000126
2025-08-31 02:23:00,0.000189,0.000126
2025-08-31 02:23:15,0.000188,0.000125
2025-08-31 02:23:30,0.000187,0.000123
2025-08-31 02:23:45,0.000188,0.000124
2025-08-31 02:24:00,0.000187,0.000123

