sep=,
"Time","PKG","CORE"
2025-08-31 02:14:00,0.000144,0.0000939
2025-08-31 02:14:15,0.000143,0.0000933
2025-08-31 02:14:30,0.000143,0.0000928
2025-08-31 02:14:45,0.000143,0.0000928
2025-08-31 02:15:00,0.000143,0.0000932
2025-08-31 02:15:15,0.000143,0.0000928
2025-08-31 02:15:30,0.000142,0.0000917
2025-08-31 02:15:45,0.000142,0.0000917
2025-08-31 02:16:00,0.000142,0.0000916
2025-08-31 02:16:15,0.000142,0.0000915
2025-08-31 02:16:30,0.000142,0.0000915
2025-08-31 02:16:45,0.000142,0.0000908
2025-08-31 02:17:00,0.000141,0.0000907
2025-08-31 02:17:15,0.000137,0.0000892
2025-08-31 02:17:30,0.000141,0.0000920
2025-08-31 02:17:45,0.000146,0.0000954
2025-08-31 02:18:00,0.000150,0.0000986
2025-08-31 02:18:15,0.000154,0.000102
2025-08-31 02:18:30,0.000158,0.000105
2025-08-31 02:18:45,0.000163,0.000108
2025-08-31 02:19:00,0.000168,0.000112
2025-08-31 02:19:15,0.000173,0.000116
2025-08-31 02:19:30,0.000179,0.000119
2025-08-31 02:19:45,0.000182,0.000122
2025-08-31 02:20:00,0.000186,0.000124
2025-08-31 02:20:15,0.000189,0.000127
2025-08-31 02:20:30,0.000190,0.000127
2025-08-31 02:20:45,0.000191,0.000128
2025-08-31 02:21:00,0.000191,0.000128
2025-08-31 02:21:15,0.000192,0.000129
2025-08-31 02:21:30,0.000192,0.000128
2025-08-31 02:21:45,0.000192,0.000128
2025-08-31 02:22:00,0.000191,0.000128
2025-08-31 02:22:15,0.000191,0.000127
2025-08-31 02:22:30,0.000190,0.000127
2025-08-31 02:22:45,0.000189,0.000126
2025-08-31 02:23:00,0.000189,0.000126
2025-08-31 02:23:15,0.000188,0.000125
2025-08-31 02:23:30,0.000187,0.000123
2025-08-31 02:23:45,0.000188,0.000124
2025-08-31 02:24:00,0.000187,0.000124

