sep=,
"Time","PKG","CORE"
2025-08-31 02:14:00,0.00000168,8.09e-7
2025-08-31 02:14:15,0.00000165,7.85e-7
2025-08-31 02:14:30,0.00000162,7.64e-7
2025-08-31 02:14:45,0.00000159,7.45e-7
2025-08-31 02:15:00,0.00000157,7.3e-7
2025-08-31 02:15:15,0.00000160,7.52e-7
2025-08-31 02:15:30,0.00000164,7.76e-7
2025-08-31 02:15:45,0.00000158,7.4e-7
2025-08-31 02:16:00,0.00000156,7.26e-7
2025-08-31 02:16:15,0.00000157,7.3e-7
2025-08-31 02:16:30,0.00000158,7.39e-7
2025-08-31 02:16:45,0.00000161,7.55e-7
2025-08-31 02:17:00,0.00000164,7.74e-7
2025-08-31 02:17:15,0.00000167,7.96e-7
2025-08-31 02:17:30,0.00000171,8.2e-7
2025-08-31 02:17:45,0.00000173,8.31e-7
2025-08-31 02:18:00,0.00000175,8.47e-7
2025-08-31 02:18:15,0.00000178,8.66e-7
2025-08-31 02:18:30,0.00000181,8.89e-7
2025-08-31 02:18:45,0.00000135,7.92e-7
2025-08-31 02:19:00,0.00000106,6.95e-7
2025-08-31 02:19:15,0.00000109,7.12e-7
2025-08-31 02:19:30,0.00000109,7.2e-7
2025-08-31 02:19:45,0.00000110,7.29e-7
2025-08-31 02:20:00,0.00000110,7.36e-7
2025-08-31 02:20:15,0.00000113,7.54e-7
2025-08-31 02:20:30,0.00000110,7.34e-7
2025-08-31 02:20:45,0.00000115,7.66e-7
2025-08-31 02:21:00,0.00000112,7.53e-7
2025-08-31 02:21:15,0.00000118,7.88e-7
2025-08-31 02:21:30,0.00000122,8.15e-7
2025-08-31 02:21:45,0.00000127,8.43e-7
2025-08-31 02:22:00,0.00000137,8.98e-7
2025-08-31 02:22:15,0.00000143,9.25e-7
2025-08-31 02:22:30,0.00000148,9.52e-7
2025-08-31 02:22:45,0.00000157,0.00000101
2025-08-31 02:23:00,0.00000163,0.00000105
2025-08-31 02:23:15,0.00000179,0.00000113
2025-08-31 02:23:30,0.00000191,0.00000119
2025-08-31 02:23:45,0.00000192,0.00000119
2025-08-31 02:24:00,0.00000192,0.00000119

