sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,9.73e-7,5.16e-7
2025-08-31 04:02:15,9.77e-7,5.17e-7
2025-08-31 04:02:30,9.77e-7,5.17e-7
2025-08-31 04:02:45,9.81e-7,5.2e-7
2025-08-31 04:03:00,9.82e-7,5.21e-7
2025-08-31 04:03:15,9.75e-7,5.17e-7
2025-08-31 04:03:30,9.84e-7,5.23e-7
2025-08-31 04:03:45,9.93e-7,5.29e-7
2025-08-31 04:04:00,9.97e-7,5.32e-7
2025-08-31 04:04:15,0.00000101,5.41e-7
2025-08-31 04:04:30,0.00000102,5.48e-7
2025-08-31 04:04:45,0.00000105,5.64e-7
2025-08-31 04:05:00,0.00000106,5.67e-7
2025-08-31 04:05:15,0.00000107,5.72e-7
2025-08-31 04:05:30,0.00000108,5.77e-7
2025-08-31 04:05:45,0.00000109,5.84e-7
2025-08-31 04:06:00,0.00000110,5.9e-7
2025-08-31 04:06:15,0.00000111,5.97e-7
2025-08-31 04:06:30,0.00000112,6.02e-7
2025-08-31 04:06:45,0.00000113,6.07e-7
2025-08-31 04:07:00,0.00000114,6.16e-7
2025-08-31 04:07:15,0.00000115,6.23e-7
2025-08-31 04:07:30,9.16e-7,5.32e-7
2025-08-31 04:07:45,9.08e-7,5.29e-7
2025-08-31 04:08:00,8.97e-7,5.22e-7
2025-08-31 04:08:15,8.83e-7,5.13e-7
2025-08-31 04:08:30,8.75e-7,5.09e-7
2025-08-31 04:08:45,8.57e-7,4.97e-7
2025-08-31 04:09:00,8.49e-7,4.92e-7
2025-08-31 04:09:15,7.91e-7,4.56e-7
2025-08-31 04:09:30,7.11e-7,4.06e-7
2025-08-31 04:09:45,6.21e-7,3.53e-7
2025-08-31 04:10:00,5.85e-7,3.36e-7
2025-08-31 04:10:15,5.76e-7,3.31e-7
2025-08-31 04:10:30,5.74e-7,3.3e-7
2025-08-31 04:10:45,5.75e-7,3.32e-7
2025-08-31 04:11:00,5.7e-7,3.29e-7
2025-08-31 04:11:15,5.78e-7,3.34e-7
2025-08-31 04:11:30,5.66e-7,3.27e-7
2025-08-31 04:11:45,5.69e-7,3.29e-7
2025-08-31 04:12:00,5.66e-7,3.27e-7
2025-08-31 04:12:15,5.64e-7,3.27e-7
2025-08-31 04:12:30,5.67e-7,3.3e-7
2025-08-31 04:12:45,5.66e-7,3.3e-7
2025-08-31 04:13:00,5.68e-7,3.31e-7

