sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.000142,0.0000799
2025-08-31 04:02:15,0.000142,0.0000800
2025-08-31 04:02:30,0.000142,0.0000797
2025-08-31 04:02:45,0.000141,0.0000794
2025-08-31 04:03:00,0.000142,0.0000798
2025-08-31 04:03:15,0.000142,0.0000803
2025-08-31 04:03:30,0.000142,0.0000808
2025-08-31 04:03:45,0.000142,0.0000807
2025-08-31 04:04:00,0.000142,0.0000809
2025-08-31 04:04:15,0.000142,0.0000810
2025-08-31 04:04:30,0.000142,0.0000810
2025-08-31 04:04:45,0.000142,0.0000811
2025-08-31 04:05:00,0.000141,0.0000809
2025-08-31 04:05:15,0.000142,0.0000820
2025-08-31 04:05:30,0.000141,0.0000809
2025-08-31 04:05:45,0.000141,0.0000811
2025-08-31 04:06:00,0.000144,0.0000831
2025-08-31 04:06:15,0.000148,0.0000854
2025-08-31 04:06:30,0.000152,0.0000875
2025-08-31 04:06:45,0.000155,0.0000893
2025-08-31 04:07:00,0.000157,0.0000907
2025-08-31 04:07:15,0.000159,0.0000919
2025-08-31 04:07:30,0.000160,0.0000929
2025-08-31 04:07:45,0.000160,0.0000933
2025-08-31 04:08:00,0.000159,0.0000924
2025-08-31 04:08:15,0.000158,0.0000919
2025-08-31 04:08:30,0.000158,0.0000917
2025-08-31 04:08:45,0.000157,0.0000908
2025-08-31 04:09:00,0.000156,0.0000898
2025-08-31 04:09:15,0.000155,0.0000893
2025-08-31 04:09:30,0.000154,0.0000887
2025-08-31 04:09:45,0.000154,0.0000889
2025-08-31 04:10:00,0.000155,0.0000893
2025-08-31 04:10:15,0.000155,0.0000895
2025-08-31 04:10:30,0.000154,0.0000890
2025-08-31 04:10:45,0.000154,0.0000894
2025-08-31 04:11:00,0.000154,0.0000894
2025-08-31 04:11:15,0.000155,0.0000898
2025-08-31 04:11:30,0.000155,0.0000897
2025-08-31 04:11:45,0.000155,0.0000899
2025-08-31 04:12:00,0.000155,0.0000902
2025-08-31 04:12:15,0.000156,0.0000907
2025-08-31 04:12:30,0.000156,0.0000913
2025-08-31 04:12:45,0.000157,0.0000915
2025-08-31 04:13:00,0.000157,0.0000921

