sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.0000181,0.00000967
2025-08-31 04:02:15,0.0000185,0.00000994
2025-08-31 04:02:30,0.0000185,0.00000991
2025-08-31 04:02:45,0.0000188,0.0000100
2025-08-31 04:03:00,0.0000191,0.0000102
2025-08-31 04:03:15,0.0000194,0.0000104
2025-08-31 04:03:30,0.0000196,0.0000105
2025-08-31 04:03:45,0.0000202,0.0000109
2025-08-31 04:04:00,0.0000205,0.0000111
2025-08-31 04:04:15,0.0000209,0.0000113
2025-08-31 04:04:30,0.0000212,0.0000115
2025-08-31 04:04:45,0.0000215,0.0000116
2025-08-31 04:05:00,0.0000219,0.0000119
2025-08-31 04:05:15,0.0000221,0.0000121
2025-08-31 04:05:30,0.0000222,0.0000121
2025-08-31 04:05:45,0.0000223,0.0000122
2025-08-31 04:06:00,0.0000226,0.0000123
2025-08-31 04:06:15,0.0000230,0.0000126
2025-08-31 04:06:30,0.0000234,0.0000128
2025-08-31 04:06:45,0.0000221,0.0000122
2025-08-31 04:07:00,0.0000206,0.0000115
2025-08-31 04:07:15,0.0000198,0.0000111
2025-08-31 04:07:30,0.0000181,0.0000105
2025-08-31 04:07:45,0.0000159,0.00000947
2025-08-31 04:08:00,0.0000131,0.00000776
2025-08-31 04:08:15,0.0000103,0.00000601
2025-08-31 04:08:30,0.00000795,0.00000467
2025-08-31 04:08:45,0.00000794,0.00000466
2025-08-31 04:09:00,0.00000790,0.00000463
2025-08-31 04:09:15,0.00000819,0.00000480
2025-08-31 04:09:30,0.00000864,0.00000507
2025-08-31 04:09:45,0.00000905,0.00000533
2025-08-31 04:10:00,0.00000955,0.00000564
2025-08-31 04:10:15,0.0000101,0.00000596
2025-08-31 04:10:30,0.0000106,0.00000626
2025-08-31 04:10:45,0.0000116,0.00000687
2025-08-31 04:11:00,0.0000133,0.00000791
2025-08-31 04:11:15,0.0000152,0.00000902
2025-08-31 04:11:30,0.0000174,0.0000102
2025-08-31 04:11:45,0.0000192,0.0000112
2025-08-31 04:12:00,0.0000207,0.0000121
2025-08-31 04:12:15,0.0000214,0.0000125
2025-08-31 04:12:30,0.0000222,0.0000130
2025-08-31 04:12:45,0.0000231,0.0000135
2025-08-31 04:13:00,0.0000239,0.0000141

