sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,7.6e-7,4.38e-7
2025-08-31 04:02:15,7.59e-7,4.37e-7
2025-08-31 04:02:30,7.52e-7,4.33e-7
2025-08-31 04:02:45,7.52e-7,4.33e-7
2025-08-31 04:03:00,7.51e-7,4.32e-7
2025-08-31 04:03:15,7.49e-7,4.31e-7
2025-08-31 04:03:30,7.47e-7,4.31e-7
2025-08-31 04:03:45,7.45e-7,4.3e-7
2025-08-31 04:04:00,7.43e-7,4.3e-7
2025-08-31 04:04:15,7.47e-7,4.33e-7
2025-08-31 04:04:30,7.54e-7,4.37e-7
2025-08-31 04:04:45,7.46e-7,4.33e-7
2025-08-31 04:05:00,7.45e-7,4.32e-7
2025-08-31 04:05:15,7.45e-7,4.33e-7
2025-08-31 04:05:30,7.59e-7,4.42e-7
2025-08-31 04:05:45,7.68e-7,4.47e-7
2025-08-31 04:06:00,7.76e-7,4.52e-7
2025-08-31 04:06:15,7.82e-7,4.55e-7
2025-08-31 04:06:30,7.94e-7,4.62e-7
2025-08-31 04:06:45,8.06e-7,4.69e-7
2025-08-31 04:07:00,8.23e-7,4.79e-7
2025-08-31 04:07:15,8.34e-7,4.85e-7
2025-08-31 04:07:30,8.42e-7,4.9e-7
2025-08-31 04:07:45,6.63e-7,3.91e-7
2025-08-31 04:08:00,6.52e-7,3.84e-7
2025-08-31 04:08:15,6.43e-7,3.78e-7
2025-08-31 04:08:30,6.29e-7,3.7e-7
2025-08-31 04:08:45,6.22e-7,3.65e-7
2025-08-31 04:09:00,6.09e-7,3.56e-7
2025-08-31 04:09:15,6.01e-7,3.51e-7
2025-08-31 04:09:30,5.54e-7,3.2e-7
2025-08-31 04:09:45,4.98e-7,2.86e-7
2025-08-31 04:10:00,4.9e-7,2.83e-7
2025-08-31 04:10:15,4.31e-7,2.49e-7
2025-08-31 04:10:30,3.99e-7,2.3e-7
2025-08-31 04:10:45,4.03e-7,2.32e-7
2025-08-31 04:11:00,4.01e-7,2.31e-7
2025-08-31 04:11:15,4.05e-7,2.34e-7
2025-08-31 04:11:30,4.06e-7,2.34e-7
2025-08-31 04:11:45,4.04e-7,2.33e-7
2025-08-31 04:12:00,4.08e-7,2.36e-7
2025-08-31 04:12:15,4.1e-7,2.37e-7
2025-08-31 04:12:30,4.08e-7,2.37e-7
2025-08-31 04:12:45,4.07e-7,2.37e-7
2025-08-31 04:13:00,4.12e-7,2.4e-7

