sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.000128,0.0000725
2025-08-31 04:02:15,0.000128,0.0000726
2025-08-31 04:02:30,0.000127,0.0000723
2025-08-31 04:02:45,0.000127,0.0000719
2025-08-31 04:03:00,0.000127,0.0000724
2025-08-31 04:03:15,0.000128,0.0000728
2025-08-31 04:03:30,0.000128,0.0000733
2025-08-31 04:03:45,0.000128,0.0000733
2025-08-31 04:04:00,0.000128,0.0000734
2025-08-31 04:04:15,0.000128,0.0000736
2025-08-31 04:04:30,0.000127,0.0000736
2025-08-31 04:04:45,0.000127,0.0000737
2025-08-31 04:05:00,0.000127,0.0000735
2025-08-31 04:05:15,0.000128,0.0000745
2025-08-31 04:05:30,0.000126,0.0000735
2025-08-31 04:05:45,0.000126,0.0000733
2025-08-31 04:06:00,0.000130,0.0000754
2025-08-31 04:06:15,0.000133,0.0000776
2025-08-31 04:06:30,0.000137,0.0000798
2025-08-31 04:06:45,0.000140,0.0000815
2025-08-31 04:07:00,0.000144,0.0000837
2025-08-31 04:07:15,0.000147,0.0000856
2025-08-31 04:07:30,0.000151,0.0000875
2025-08-31 04:07:45,0.000153,0.0000892
2025-08-31 04:08:00,0.000155,0.0000901
2025-08-31 04:08:15,0.000157,0.0000913
2025-08-31 04:08:30,0.000158,0.0000916
2025-08-31 04:08:45,0.000157,0.0000908
2025-08-31 04:09:00,0.000156,0.0000898
2025-08-31 04:09:15,0.000155,0.0000892
2025-08-31 04:09:30,0.000154,0.0000887
2025-08-31 04:09:45,0.000154,0.0000888
2025-08-31 04:10:00,0.000155,0.0000893
2025-08-31 04:10:15,0.000155,0.0000895
2025-08-31 04:10:30,0.000154,0.0000889
2025-08-31 04:10:45,0.000154,0.0000893
2025-08-31 04:11:00,0.000154,0.0000893
2025-08-31 04:11:15,0.000155,0.0000898
2025-08-31 04:11:30,0.000154,0.0000896
2025-08-31 04:11:45,0.000155,0.0000899
2025-08-31 04:12:00,0.000155,0.0000902
2025-08-31 04:12:15,0.000156,0.0000906
2025-08-31 04:12:30,0.000156,0.0000912
2025-08-31 04:12:45,0.000156,0.0000915
2025-08-31 04:13:00,0.000157,0.0000921

