sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.00000140,6.8e-7
2025-08-31 04:02:15,0.00000140,6.83e-7
2025-08-31 04:02:30,0.00000141,6.85e-7
2025-08-31 04:02:45,0.00000142,6.9e-7
2025-08-31 04:03:00,0.00000142,6.91e-7
2025-08-31 04:03:15,0.00000142,6.96e-7
2025-08-31 04:03:30,0.00000143,7.02e-7
2025-08-31 04:03:45,0.00000143,7.01e-7
2025-08-31 04:04:00,0.00000144,7.05e-7
2025-08-31 04:04:15,0.00000144,7.09e-7
2025-08-31 04:04:30,0.00000145,7.11e-7
2025-08-31 04:04:45,0.00000145,7.17e-7
2025-08-31 04:05:00,0.00000145,7.15e-7
2025-08-31 04:05:15,0.00000146,7.18e-7
2025-08-31 04:05:30,0.00000147,7.25e-7
2025-08-31 04:05:45,0.00000149,7.36e-7
2025-08-31 04:06:00,0.00000150,7.43e-7
2025-08-31 04:06:15,0.00000151,7.5e-7
2025-08-31 04:06:30,0.00000152,7.57e-7
2025-08-31 04:06:45,0.00000153,7.63e-7
2025-08-31 04:07:00,0.00000154,7.7e-7
2025-08-31 04:07:15,0.00000155,7.76e-7
2025-08-31 04:07:30,0.00000110,6.03e-7
2025-08-31 04:07:45,8.8e-7,5.19e-7
2025-08-31 04:08:00,8.7e-7,5.13e-7
2025-08-31 04:08:15,8.71e-7,5.13e-7
2025-08-31 04:08:30,8.78e-7,5.17e-7
2025-08-31 04:08:45,8.68e-7,5.1e-7
2025-08-31 04:09:00,8.59e-7,5.03e-7
2025-08-31 04:09:15,8.25e-7,4.81e-7
2025-08-31 04:09:30,7.9e-7,4.59e-7
2025-08-31 04:09:45,6.4e-7,3.7e-7
2025-08-31 04:10:00,6.26e-7,3.63e-7
2025-08-31 04:10:15,5.64e-7,3.27e-7
2025-08-31 04:10:30,5.56e-7,3.22e-7
2025-08-31 04:10:45,5.65e-7,3.28e-7
2025-08-31 04:11:00,5.57e-7,3.23e-7
2025-08-31 04:11:15,5.58e-7,3.24e-7
2025-08-31 04:11:30,5.6e-7,3.25e-7
2025-08-31 04:11:45,5.6e-7,3.25e-7
2025-08-31 04:12:00,5.6e-7,3.26e-7
2025-08-31 04:12:15,5.61e-7,3.27e-7
2025-08-31 04:12:30,5.61e-7,3.27e-7
2025-08-31 04:12:45,5.57e-7,3.25e-7
2025-08-31 04:13:00,5.63e-7,3.3e-7

