sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.000133,0.0000757
2025-08-31 04:02:15,0.000134,0.0000761
2025-08-31 04:02:30,0.000134,0.0000760
2025-08-31 04:02:45,0.000134,0.0000760
2025-08-31 04:03:00,0.000135,0.0000767
2025-08-31 04:03:15,0.000136,0.0000776
2025-08-31 04:03:30,0.000137,0.0000784
2025-08-31 04:03:45,0.000137,0.0000786
2025-08-31 04:04:00,0.000137,0.0000791
2025-08-31 04:04:15,0.000138,0.0000796
2025-08-31 04:04:30,0.000138,0.0000798
2025-08-31 04:04:45,0.000139,0.0000802
2025-08-31 04:05:00,0.000139,0.0000802
2025-08-31 04:05:15,0.000140,0.0000814
2025-08-31 04:05:30,0.000143,0.0000828
2025-08-31 04:05:45,0.000145,0.0000844
2025-08-31 04:06:00,0.000149,0.0000867
2025-08-31 04:06:15,0.000153,0.0000892
2025-08-31 04:06:30,0.000157,0.0000916
2025-08-31 04:06:45,0.000161,0.0000935
2025-08-31 04:07:00,0.000165,0.0000959
2025-08-31 04:07:15,0.000169,0.0000981
2025-08-31 04:07:30,0.000172,0.000100
2025-08-31 04:07:45,0.000175,0.000102
2025-08-31 04:08:00,0.000176,0.000102
2025-08-31 04:08:15,0.000176,0.000102
2025-08-31 04:08:30,0.000175,0.000102
2025-08-31 04:08:45,0.000174,0.000101
2025-08-31 04:09:00,0.000173,0.0000995
2025-08-31 04:09:15,0.000172,0.0000989
2025-08-31 04:09:30,0.000171,0.0000983
2025-08-31 04:09:45,0.000171,0.0000985
2025-08-31 04:10:00,0.000171,0.0000990
2025-08-31 04:10:15,0.000171,0.0000992
2025-08-31 04:10:30,0.000170,0.0000985
2025-08-31 04:10:45,0.000171,0.0000989
2025-08-31 04:11:00,0.000171,0.0000988
2025-08-31 04:11:15,0.000171,0.0000993
2025-08-31 04:11:30,0.000171,0.0000990
2025-08-31 04:11:45,0.000171,0.0000991
2025-08-31 04:12:00,0.000171,0.0000994
2025-08-31 04:12:15,0.000172,0.0000999
2025-08-31 04:12:30,0.000172,0.000100
2025-08-31 04:12:45,0.000172,0.000101
2025-08-31 04:13:00,0.000173,0.000101

