sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.000140,0.0000792
2025-08-31 04:02:15,0.000140,0.0000796
2025-08-31 04:02:30,0.000140,0.0000795
2025-08-31 04:02:45,0.000141,0.0000795
2025-08-31 04:03:00,0.000141,0.0000803
2025-08-31 04:03:15,0.000142,0.0000811
2025-08-31 04:03:30,0.000143,0.0000819
2025-08-31 04:03:45,0.000143,0.0000822
2025-08-31 04:04:00,0.000144,0.0000826
2025-08-31 04:04:15,0.000144,0.0000831
2025-08-31 04:04:30,0.000145,0.0000834
2025-08-31 04:04:45,0.000145,0.0000837
2025-08-31 04:05:00,0.000145,0.0000838
2025-08-31 04:05:15,0.000147,0.0000849
2025-08-31 04:05:30,0.000149,0.0000864
2025-08-31 04:05:45,0.000152,0.0000879
2025-08-31 04:06:00,0.000155,0.0000902
2025-08-31 04:06:15,0.000160,0.0000926
2025-08-31 04:06:30,0.000164,0.0000950
2025-08-31 04:06:45,0.000167,0.0000969
2025-08-31 04:07:00,0.000171,0.0000990
2025-08-31 04:07:15,0.000173,0.000100
2025-08-31 04:07:30,0.000175,0.000102
2025-08-31 04:07:45,0.000177,0.000103
2025-08-31 04:08:00,0.000176,0.000102
2025-08-31 04:08:15,0.000175,0.000102
2025-08-31 04:08:30,0.000175,0.000102
2025-08-31 04:08:45,0.000174,0.000101
2025-08-31 04:09:00,0.000172,0.0000995
2025-08-31 04:09:15,0.000172,0.0000988
2025-08-31 04:09:30,0.000171,0.0000982
2025-08-31 04:09:45,0.000171,0.0000984
2025-08-31 04:10:00,0.000171,0.0000989
2025-08-31 04:10:15,0.000171,0.0000991
2025-08-31 04:10:30,0.000170,0.0000985
2025-08-31 04:10:45,0.000171,0.0000989
2025-08-31 04:11:00,0.000170,0.0000988
2025-08-31 04:11:15,0.000171,0.0000992
2025-08-31 04:11:30,0.000170,0.0000989
2025-08-31 04:11:45,0.000171,0.0000991
2025-08-31 04:12:00,0.000171,0.0000993
2025-08-31 04:12:15,0.000171,0.0000998
2025-08-31 04:12:30,0.000172,0.000100
2025-08-31 04:12:45,0.000172,0.000101
2025-08-31 04:13:00,0.000173,0.000101

