sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.00000181,9.64e-7
2025-08-31 04:02:15,0.00000181,9.66e-7
2025-08-31 04:02:30,0.00000181,9.66e-7
2025-08-31 04:02:45,0.00000182,9.69e-7
2025-08-31 04:03:00,0.00000182,9.72e-7
2025-08-31 04:03:15,0.00000182,9.72e-7
2025-08-31 04:03:30,0.00000182,9.75e-7
2025-08-31 04:03:45,0.00000182,9.74e-7
2025-08-31 04:04:00,0.00000183,9.78e-7
2025-08-31 04:04:15,0.00000182,9.76e-7
2025-08-31 04:04:30,0.00000183,9.78e-7
2025-08-31 04:04:45,0.00000183,9.79e-7
2025-08-31 04:05:00,0.00000183,9.81e-7
2025-08-31 04:05:15,0.00000183,9.82e-7
2025-08-31 04:05:30,0.00000185,9.92e-7
2025-08-31 04:05:45,0.00000186,9.99e-7
2025-08-31 04:06:00,0.00000187,0.00000101
2025-08-31 04:06:15,0.00000188,0.00000101
2025-08-31 04:06:30,0.00000189,0.00000102
2025-08-31 04:06:45,0.00000190,0.00000102
2025-08-31 04:07:00,0.00000191,0.00000103
2025-08-31 04:07:15,0.00000137,7e-7
2025-08-31 04:07:30,8.28e-7,4.94e-7
2025-08-31 04:07:45,8.2e-7,4.92e-7
2025-08-31 04:08:00,8.05e-7,4.82e-7
2025-08-31 04:08:15,7.99e-7,4.77e-7
2025-08-31 04:08:30,7.82e-7,4.68e-7
2025-08-31 04:08:45,7.73e-7,4.61e-7
2025-08-31 04:09:00,6.98e-7,4.13e-7
2025-08-31 04:09:15,6.3e-7,3.68e-7
2025-08-31 04:09:30,5.45e-7,3.14e-7
2025-08-31 04:09:45,5.1e-7,2.94e-7
2025-08-31 04:10:00,5.04e-7,2.91e-7
2025-08-31 04:10:15,4.95e-7,2.87e-7
2025-08-31 04:10:30,4.83e-7,2.79e-7
2025-08-31 04:10:45,4.84e-7,2.81e-7
2025-08-31 04:11:00,4.83e-7,2.79e-7
2025-08-31 04:11:15,4.84e-7,2.81e-7
2025-08-31 04:11:30,4.83e-7,2.8e-7
2025-08-31 04:11:45,4.83e-7,2.81e-7
2025-08-31 04:12:00,5.21e-7,3.03e-7
2025-08-31 04:12:15,5.26e-7,3.07e-7
2025-08-31 04:12:30,5.23e-7,3.06e-7
2025-08-31 04:12:45,5.19e-7,3.03e-7
2025-08-31 04:13:00,5.21e-7,3.05e-7

