sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.00000115,6.63e-7
2025-08-31 04:02:15,0.00000115,6.65e-7
2025-08-31 04:02:30,0.00000115,6.64e-7
2025-08-31 04:02:45,0.00000115,6.62e-7
2025-08-31 04:03:00,0.00000115,6.63e-7
2025-08-31 04:03:15,0.00000116,6.68e-7
2025-08-31 04:03:30,0.00000115,6.69e-7
2025-08-31 04:03:45,0.00000115,6.67e-7
2025-08-31 04:04:00,0.00000116,6.73e-7
2025-08-31 04:04:15,0.00000116,6.72e-7
2025-08-31 04:04:30,0.00000115,6.7e-7
2025-08-31 04:04:45,0.00000115,6.71e-7
2025-08-31 04:05:00,0.00000116,6.73e-7
2025-08-31 04:05:15,0.00000116,6.74e-7
2025-08-31 04:05:30,0.00000117,6.81e-7
2025-08-31 04:05:45,0.00000119,6.91e-7
2025-08-31 04:06:00,0.00000119,6.95e-7
2025-08-31 04:06:15,0.00000121,7.02e-7
2025-08-31 04:06:30,0.00000122,7.11e-7
2025-08-31 04:06:45,0.00000123,7.15e-7
2025-08-31 04:07:00,0.00000124,7.22e-7
2025-08-31 04:07:15,0.00000125,7.28e-7
2025-08-31 04:07:30,0.00000126,7.36e-7
2025-08-31 04:07:45,0.00000103,5.99e-7
2025-08-31 04:08:00,7.78e-7,4.53e-7
2025-08-31 04:08:15,7.68e-7,4.47e-7
2025-08-31 04:08:30,7.59e-7,4.42e-7
2025-08-31 04:08:45,7.5e-7,4.36e-7
2025-08-31 04:09:00,7.33e-7,4.24e-7
2025-08-31 04:09:15,7.31e-7,4.23e-7
2025-08-31 04:09:30,6.93e-7,3.99e-7
2025-08-31 04:09:45,6.67e-7,3.84e-7
2025-08-31 04:10:00,6.17e-7,3.57e-7
2025-08-31 04:10:15,5.46e-7,3.2e-7
2025-08-31 04:10:30,5.15e-7,3e-7
2025-08-31 04:10:45,5.24e-7,3.06e-7
2025-08-31 04:11:00,5.19e-7,3.03e-7
2025-08-31 04:11:15,5.2e-7,3.04e-7
2025-08-31 04:11:30,5.18e-7,3.02e-7
2025-08-31 04:11:45,5.32e-7,3.1e-7
2025-08-31 04:12:00,5.58e-7,3.25e-7
2025-08-31 04:12:15,5.55e-7,3.25e-7
2025-08-31 04:12:30,5.53e-7,3.24e-7
2025-08-31 04:12:45,5.53e-7,3.24e-7
2025-08-31 04:13:00,5.63e-7,3.31e-7

