sep=,
"Time","PKG","CORE"
2025-08-31 04:02:00,0.000125,0.0000709
2025-08-31 04:02:15,0.000125,0.0000711
2025-08-31 04:02:30,0.000125,0.0000709
2025-08-31 04:02:45,0.000125,0.0000707
2025-08-31 04:03:00,0.000125,0.0000711
2025-08-31 04:03:15,0.000125,0.0000717
2025-08-31 04:03:30,0.000126,0.0000723
2025-08-31 04:03:45,0.000126,0.0000724
2025-08-31 04:04:00,0.000126,0.0000726
2025-08-31 04:04:15,0.000126,0.0000729
2025-08-31 04:04:30,0.000126,0.0000729
2025-08-31 04:04:45,0.000126,0.0000731
2025-08-31 04:05:00,0.000126,0.0000730
2025-08-31 04:05:15,0.000127,0.0000741
2025-08-31 04:05:30,0.000126,0.0000731
2025-08-31 04:05:45,0.000125,0.0000728
2025-08-31 04:06:00,0.000129,0.0000749
2025-08-31 04:06:15,0.000132,0.0000771
2025-08-31 04:06:30,0.000136,0.0000793
2025-08-31 04:06:45,0.000139,0.0000810
2025-08-31 04:07:00,0.000143,0.0000832
2025-08-31 04:07:15,0.000146,0.0000851
2025-08-31 04:07:30,0.000150,0.0000870
2025-08-31 04:07:45,0.000153,0.0000889
2025-08-31 04:08:00,0.000154,0.0000896
2025-08-31 04:08:15,0.000156,0.0000906
2025-08-31 04:08:30,0.000158,0.0000916
2025-08-31 04:08:45,0.000157,0.0000908
2025-08-31 04:09:00,0.000156,0.0000898
2025-08-31 04:09:15,0.000155,0.0000892
2025-08-31 04:09:30,0.000154,0.0000887
2025-08-31 04:09:45,0.000154,0.0000888
2025-08-31 04:10:00,0.000155,0.0000893
2025-08-31 04:10:15,0.000155,0.0000895
2025-08-31 04:10:30,0.000154,0.0000889
2025-08-31 04:10:45,0.000154,0.0000893
2025-08-31 04:11:00,0.000154,0.0000893
2025-08-31 04:11:15,0.000155,0.0000898
2025-08-31 04:11:30,0.000155,0.0000897
2025-08-31 04:11:45,0.000155,0.0000899
2025-08-31 04:12:00,0.000155,0.0000902
2025-08-31 04:12:15,0.000156,0.0000907
2025-08-31 04:12:30,0.000156,0.0000912
2025-08-31 04:12:45,0.000156,0.0000915
2025-08-31 04:13:00,0.000157,0.0000921

