sep=,
"Time","PKG","CORE"
2025-08-27 23:44:00,3.69e-7,2.71e-7
2025-08-27 23:44:15,3.66e-7,2.69e-7
2025-08-27 23:44:30,3.66e-7,2.68e-7
2025-08-27 23:44:45,3.68e-7,2.68e-7
2025-08-27 23:45:00,3.7e-7,2.68e-7
2025-08-27 23:45:15,3.72e-7,2.69e-7
2025-08-27 23:45:30,3.72e-7,2.67e-7
2025-08-27 23:45:45,3.68e-7,2.62e-7
2025-08-27 23:46:00,3.75e-7,2.66e-7
2025-08-27 23:46:15,3.73e-7,2.61e-7
2025-08-27 23:46:30,3.97e-7,2.75e-7
2025-08-27 23:46:45,4.37e-7,2.97e-7
2025-08-27 23:47:00,4.88e-7,3.22e-7
2025-08-27 23:47:15,4.83e-7,3.16e-7
2025-08-27 23:47:30,5.02e-7,3.27e-7
2025-08-27 23:47:45,6.09e-7,3.92e-7
2025-08-27 23:48:00,6.81e-7,4.31e-7
2025-08-27 23:48:15,6.79e-7,4.29e-7
2025-08-27 23:48:30,6.81e-7,4.3e-7
2025-08-27 23:48:45,6.77e-7,4.27e-7
2025-08-27 23:49:00,6.86e-7,4.32e-7
2025-08-27 23:49:15,6.79e-7,4.25e-7
2025-08-27 23:49:30,7.19e-7,4.37e-7
2025-08-27 23:49:45,7.59e-7,4.63e-7
2025-08-27 23:50:00,7.62e-7,4.67e-7

