sep=,
"Time","PKG","CORE"
2025-08-27 23:44:00,0.000162,0.000120
2025-08-27 23:44:15,0.000161,0.000119
2025-08-27 23:44:30,0.000160,0.000118
2025-08-27 23:44:45,0.000159,0.000117
2025-08-27 23:45:00,0.000158,0.000116
2025-08-27 23:45:15,0.000155,0.000114
2025-08-27 23:45:30,0.000153,0.000112
2025-08-27 23:45:45,0.000153,0.000111
2025-08-27 23:46:00,0.000150,0.000109
2025-08-27 23:46:15,0.000147,0.000106
2025-08-27 23:46:30,0.000145,0.000103
2025-08-27 23:46:45,0.000142,0.000101
2025-08-27 23:47:00,0.000139,0.0000974
2025-08-27 23:47:15,0.000136,0.0000944
2025-08-27 23:47:30,0.000134,0.0000920
2025-08-27 23:47:45,0.000132,0.0000903
2025-08-27 23:48:00,0.000129,0.0000873
2025-08-27 23:48:15,0.000129,0.0000866
2025-08-27 23:48:30,0.000128,0.0000855
2025-08-27 23:48:45,0.000126,0.0000837
2025-08-27 23:49:00,0.000124,0.0000820
2025-08-27 23:49:15,0.000121,0.0000790
2025-08-27 23:49:30,0.000118,0.0000760
2025-08-27 23:49:45,0.000116,0.0000744
2025-08-27 23:50:00,0.000117,0.0000752

