sep=,
"Time","PKG","CORE"
2025-08-27 23:44:00,2.32e-7,1.73e-7
2025-08-27 23:44:15,2.55e-7,1.88e-7
2025-08-27 23:44:30,8.58e-7,6.16e-7
2025-08-27 23:44:45,0.00000197,0.00000140
2025-08-27 23:45:00,0.00000385,0.00000265
2025-08-27 23:45:15,0.00000639,0.00000424
2025-08-27 23:45:30,0.00000827,0.00000542
2025-08-27 23:45:45,0.0000101,0.00000665
2025-08-27 23:46:00,0.0000110,0.00000724
2025-08-27 23:46:15,0.0000108,0.00000714
2025-08-27 23:46:30,0.0000114,0.00000748
2025-08-27 23:46:45,0.0000123,0.00000804
2025-08-27 23:47:00,0.0000135,0.00000871
2025-08-27 23:47:15,0.0000142,0.00000911
2025-08-27 23:47:30,0.0000149,0.00000957
2025-08-27 23:47:45,0.0000158,0.0000101
2025-08-27 23:48:00,0.0000167,0.0000106
2025-08-27 23:48:15,0.0000170,0.0000108
2025-08-27 23:48:30,0.0000177,0.0000112
2025-08-27 23:48:45,0.0000184,0.0000117
2025-08-27 23:49:00,0.0000191,0.0000122
2025-08-27 23:49:15,0.0000196,0.0000124
2025-08-27 23:49:30,0.0000202,0.0000127
2025-08-27 23:49:45,0.0000204,0.0000129
2025-08-27 23:50:00,0.0000205,0.0000129

