"Time","PKG","CORE"
2025-08-27 23:44:00,5.16e-7,3.79e-7
2025-08-27 23:44:15,5.12e-7,3.75e-7
2025-08-27 23:44:30,5.15e-7,3.77e-7
2025-08-27 23:44:45,4.32e-7,3.18e-7
2025-08-27 23:45:00,4.26e-7,3.13e-7
2025-08-27 23:45:15,4.2e-7,3.08e-7
2025-08-27 23:45:30,4.12e-7,2.99e-7
2025-08-27 23:45:45,4.1e-7,2.97e-7
2025-08-27 23:46:00,4.16e-7,3e-7
2025-08-27 23:46:15,4.09e-7,2.93e-7
2025-08-27 23:46:30,4.1e-7,2.92e-7
2025-08-27 23:46:45,3.94e-7,2.78e-7
2025-08-27 23:47:00,3.84e-7,2.67e-7
2025-08-27 23:47:15,4.63e-7,3.14e-7
2025-08-27 23:47:30,4.95e-7,3.33e-7
2025-08-27 23:47:45,5.93e-7,3.98e-7
2025-08-27 23:48:00,7.02e-7,4.54e-7
2025-08-27 23:48:15,7e-7,4.52e-7
2025-08-27 23:48:30,6.92e-7,4.46e-7
2025-08-27 23:48:45,6.89e-7,4.42e-7
2025-08-27 23:49:00,6.94e-7,4.43e-7
2025-08-27 23:49:15,6.98e-7,4.43e-7
2025-08-27 23:49:30,7.18e-7,4.44e-7
2025-08-27 23:49:45,8.21e-7,5.03e-7
2025-08-27 23:50:00,8.17e-7,5.02e-7

