sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,0.00000107,6.51e-7
2025-08-27 22:12:15,0.00000107,6.5e-7
2025-08-27 22:12:30,0.00000106,6.46e-7
2025-08-27 22:12:45,0.00000115,7.02e-7
2025-08-27 22:13:00,0.00000116,7.06e-7
2025-08-27 22:13:15,0.00000118,7.2e-7
2025-08-27 22:13:30,0.00000119,7.2e-7
2025-08-27 22:13:45,0.00000120,7.23e-7
2025-08-27 22:14:00,0.00000121,7.32e-7
2025-08-27 22:14:15,0.00000123,7.45e-7
2025-08-27 22:14:30,0.00000124,7.54e-7
2025-08-27 22:14:45,0.00000121,7.31e-7
2025-08-27 22:15:00,0.00000124,7.55e-7
2025-08-27 22:15:15,0.00000124,7.59e-7
2025-08-27 22:15:30,0.00000127,7.75e-7
2025-08-27 22:15:45,0.00000128,7.85e-7
2025-08-27 22:16:00,0.00000128,7.82e-7
2025-08-27 22:16:15,0.00000129,7.92e-7
2025-08-27 22:16:30,0.00000131,8.02e-7
2025-08-27 22:16:45,0.00000132,8.08e-7
2025-08-27 22:17:00,0.00000134,8.17e-7
2025-08-27 22:17:15,0.00000138,8.44e-7
2025-08-27 22:17:30,0.00000138,8.48e-7
2025-08-27 22:17:45,0.00000138,8.48e-7
2025-08-27 22:18:00,0.00000140,8.57e-7
2025-08-27 22:18:15,0.00000140,8.61e-7
2025-08-27 22:18:30,0.00000141,8.68e-7
2025-08-27 22:18:45,0.00000152,9.37e-7
2025-08-27 22:19:00,0.00000148,9.14e-7
2025-08-27 22:19:15,0.00000150,9.31e-7
2025-08-27 22:19:30,0.00000150,9.3e-7
2025-08-27 22:19:45,0.00000148,9.23e-7
2025-08-27 22:20:00,0.00000148,9.24e-7

