sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,3.83e-7,2.34e-7
2025-08-27 22:12:15,3.86e-7,2.36e-7
2025-08-27 22:12:30,3.87e-7,2.36e-7
2025-08-27 22:12:45,3.89e-7,2.37e-7
2025-08-27 22:13:00,3.89e-7,2.37e-7
2025-08-27 22:13:15,3.93e-7,2.39e-7
2025-08-27 22:13:30,3.91e-7,2.37e-7
2025-08-27 22:13:45,4.03e-7,2.43e-7
2025-08-27 22:14:00,3.98e-7,2.4e-7
2025-08-27 22:14:15,4.06e-7,2.45e-7
2025-08-27 22:14:30,4.11e-7,2.5e-7
2025-08-27 22:14:45,4.11e-7,2.5e-7
2025-08-27 22:15:00,4.18e-7,2.55e-7
2025-08-27 22:15:15,4.23e-7,2.59e-7
2025-08-27 22:15:30,4.31e-7,2.63e-7
2025-08-27 22:15:45,4.48e-7,2.75e-7
2025-08-27 22:16:00,4.82e-7,2.97e-7
2025-08-27 22:16:15,5.03e-7,3.09e-7
2025-08-27 22:16:30,5.07e-7,3.13e-7
2025-08-27 22:16:45,5.07e-7,3.13e-7
2025-08-27 22:17:00,5.13e-7,3.16e-7
2025-08-27 22:17:15,5.18e-7,3.19e-7
2025-08-27 22:17:30,5.13e-7,3.16e-7
2025-08-27 22:17:45,5.23e-7,3.23e-7
2025-08-27 22:18:00,5.25e-7,3.24e-7
2025-08-27 22:18:15,5.35e-7,3.31e-7
2025-08-27 22:18:30,5.63e-7,3.49e-7
2025-08-27 22:18:45,5.93e-7,3.67e-7
2025-08-27 22:19:00,5.97e-7,3.7e-7
2025-08-27 22:19:15,6.44e-7,4e-7
2025-08-27 22:19:30,6.54e-7,4.07e-7
2025-08-27 22:19:45,6.56e-7,4.09e-7
2025-08-27 22:20:00,6.52e-7,4.08e-7

