sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,0.0000394,0.0000241
2025-08-27 22:12:15,0.0000396,0.0000243
2025-08-27 22:12:30,0.0000397,0.0000243
2025-08-27 22:12:45,0.0000398,0.0000243
2025-08-27 22:13:00,0.0000403,0.0000246
2025-08-27 22:13:15,0.0000405,0.0000247
2025-08-27 22:13:30,0.0000409,0.0000249
2025-08-27 22:13:45,0.0000415,0.0000252
2025-08-27 22:14:00,0.0000419,0.0000254
2025-08-27 22:14:15,0.0000423,0.0000257
2025-08-27 22:14:30,0.0000425,0.0000260
2025-08-27 22:14:45,0.0000426,0.0000260
2025-08-27 22:15:00,0.0000433,0.0000266
2025-08-27 22:15:15,0.0000435,0.0000267
2025-08-27 22:15:30,0.0000435,0.0000267
2025-08-27 22:15:45,0.0000439,0.0000270
2025-08-27 22:16:00,0.0000441,0.0000271
2025-08-27 22:16:15,0.0000440,0.0000271
2025-08-27 22:16:30,0.0000442,0.0000272
2025-08-27 22:16:45,0.0000442,0.0000272
2025-08-27 22:17:00,0.0000444,0.0000273
2025-08-27 22:17:15,0.0000444,0.0000273
2025-08-27 22:17:30,0.0000444,0.0000272
2025-08-27 22:17:45,0.0000443,0.0000272
2025-08-27 22:18:00,0.0000446,0.0000274
2025-08-27 22:18:15,0.0000447,0.0000275
2025-08-27 22:18:30,0.0000449,0.0000276
2025-08-27 22:18:45,0.0000449,0.0000276
2025-08-27 22:19:00,0.0000451,0.0000279
2025-08-27 22:19:15,0.0000452,0.0000280
2025-08-27 22:19:30,0.0000452,0.0000281
2025-08-27 22:19:45,0.0000450,0.0000280
2025-08-27 22:20:00,0.0000451,0.0000282

