sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,3.88e-7,2.38e-7
2025-08-27 22:12:15,3.94e-7,2.42e-7
2025-08-27 22:12:30,3.88e-7,2.38e-7
2025-08-27 22:12:45,3.95e-7,2.42e-7
2025-08-27 22:13:00,3.9e-7,2.39e-7
2025-08-27 22:13:15,3.91e-7,2.39e-7
2025-08-27 22:13:30,3.93e-7,2.4e-7
2025-08-27 22:13:45,4e-7,2.42e-7
2025-08-27 22:14:00,4.04e-7,2.45e-7
2025-08-27 22:14:15,4.11e-7,2.5e-7
2025-08-27 22:14:30,4.17e-7,2.55e-7
2025-08-27 22:14:45,4.16e-7,2.55e-7
2025-08-27 22:15:00,4.2e-7,2.58e-7
2025-08-27 22:15:15,4.29e-7,2.64e-7
2025-08-27 22:15:30,4.29e-7,2.64e-7
2025-08-27 22:15:45,4.38e-7,2.7e-7
2025-08-27 22:16:00,4.28e-7,2.63e-7
2025-08-27 22:16:15,4.44e-7,2.73e-7
2025-08-27 22:16:30,4.82e-7,2.96e-7
2025-08-27 22:16:45,4.94e-7,3.03e-7
2025-08-27 22:17:00,5.06e-7,3.1e-7
2025-08-27 22:17:15,5.49e-7,3.37e-7
2025-08-27 22:17:30,6e-7,3.69e-7
2025-08-27 22:17:45,6.26e-7,3.86e-7
2025-08-27 22:18:00,6.76e-7,4.19e-7
2025-08-27 22:18:15,7.17e-7,4.45e-7
2025-08-27 22:18:30,7.23e-7,4.49e-7
2025-08-27 22:18:45,7.35e-7,4.56e-7
2025-08-27 22:19:00,8.07e-7,5.04e-7
2025-08-27 22:19:15,8.21e-7,5.14e-7
2025-08-27 22:19:30,8.19e-7,5.13e-7
2025-08-27 22:19:45,8.11e-7,5.09e-7
2025-08-27 22:20:00,8.15e-7,5.13e-7

