sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,0.000131,0.0000804
2025-08-27 22:12:15,0.000132,0.0000809
2025-08-27 22:12:30,0.000132,0.0000810
2025-08-27 22:12:45,0.000132,0.0000807
2025-08-27 22:13:00,0.000133,0.0000815
2025-08-27 22:13:15,0.000133,0.0000812
2025-08-27 22:13:30,0.000134,0.0000814
2025-08-27 22:13:45,0.000135,0.0000817
2025-08-27 22:14:00,0.000136,0.0000821
2025-08-27 22:14:15,0.000137,0.0000832
2025-08-27 22:14:30,0.000137,0.0000839
2025-08-27 22:14:45,0.000137,0.0000839
2025-08-27 22:15:00,0.000139,0.0000853
2025-08-27 22:15:15,0.000140,0.0000858
2025-08-27 22:15:30,0.000140,0.0000857
2025-08-27 22:15:45,0.000140,0.0000863
2025-08-27 22:16:00,0.000141,0.0000866
2025-08-27 22:16:15,0.000141,0.0000864
2025-08-27 22:16:30,0.000141,0.0000867
2025-08-27 22:16:45,0.000141,0.0000867
2025-08-27 22:17:00,0.000142,0.0000871
2025-08-27 22:17:15,0.000141,0.0000869
2025-08-27 22:17:30,0.000141,0.0000868
2025-08-27 22:17:45,0.000141,0.0000868
2025-08-27 22:18:00,0.000142,0.0000873
2025-08-27 22:18:15,0.000142,0.0000876
2025-08-27 22:18:30,0.000143,0.0000880
2025-08-27 22:18:45,0.000143,0.0000880
2025-08-27 22:19:00,0.000144,0.0000888
2025-08-27 22:19:15,0.000144,0.0000893
2025-08-27 22:19:30,0.000144,0.0000894
2025-08-27 22:19:45,0.000143,0.0000893
2025-08-27 22:20:00,0.000144,0.0000898

