sep=,
"Time","PKG","CORE"
2025-08-27 22:12:00,3.81e-7,2.32e-7
2025-08-27 22:12:15,3.83e-7,2.34e-7
2025-08-27 22:12:30,3.94e-7,2.4e-7
2025-08-27 22:12:45,4.09e-7,2.47e-7
2025-08-27 22:13:00,4.21e-7,2.56e-7
2025-08-27 22:13:15,4.46e-7,2.7e-7
2025-08-27 22:13:30,4.66e-7,2.81e-7
2025-08-27 22:13:45,5.13e-7,3.05e-7
2025-08-27 22:14:00,5.4e-7,3.23e-7
2025-08-27 22:14:15,6.01e-7,3.66e-7
2025-08-27 22:14:30,6.78e-7,4.18e-7
2025-08-27 22:14:45,7.56e-7,4.7e-7
2025-08-27 22:15:00,8.01e-7,5.01e-7
2025-08-27 22:15:15,8.86e-7,5.57e-7
2025-08-27 22:15:30,0.00000101,6.3e-7
2025-08-27 22:15:45,0.00000113,7.11e-7
2025-08-27 22:16:00,0.00000116,7.28e-7
2025-08-27 22:16:15,0.00000124,7.79e-7
2025-08-27 22:16:30,0.00000138,8.63e-7
2025-08-27 22:16:45,0.00000155,9.68e-7
2025-08-27 22:17:00,0.00000158,9.85e-7
2025-08-27 22:17:15,0.00000160,9.98e-7
2025-08-27 22:17:30,0.00000162,0.00000101
2025-08-27 22:17:45,0.00000168,0.00000105
2025-08-27 22:18:00,0.00000171,0.00000107
2025-08-27 22:18:15,0.00000180,0.00000113
2025-08-27 22:18:30,0.00000193,0.00000121
2025-08-27 22:18:45,0.00000204,0.00000128
2025-08-27 22:19:00,0.00000213,0.00000134
2025-08-27 22:19:15,0.00000223,0.00000139
2025-08-27 22:19:30,0.00000227,0.00000142
2025-08-27 22:19:45,0.00000227,0.00000142
2025-08-27 22:20:00,0.00000226,0.00000142

