Time;PKG;CORE
27/08/2025 06:56;5.41E-07;3.76E-07
27/08/2025 06:56;5.54E-07;3.85E-07
27/08/2025 06:56;5.63E-07;3.92E-07
27/08/2025 06:56;5.71E-07;3.97E-07
27/08/2025 06:57;5.82E-07;4.05E-07
27/08/2025 06:57;5.93E-07;4.11E-07
27/08/2025 06:57;6.07E-07;4.21E-07
27/08/2025 06:57;6.22E-07;4.30E-07
27/08/2025 06:58;6.30E-07;4.36E-07
27/08/2025 06:58;6.49E-07;4.49E-07
27/08/2025 06:58;6.59E-07;4.56E-07
27/08/2025 06:58;6.72E-07;4.66E-07
27/08/2025 06:59;6.85E-07;4.75E-07
27/08/2025 06:59;6.96E-07;4.83E-07
27/08/2025 06:59;7.12E-07;4.94E-07
27/08/2025 06:59;7.36E-07;5.10E-07
27/08/2025 07:00;7.70E-07;5.33E-07
27/08/2025 07:00;8.02E-07;5.55E-07
27/08/2025 07:00;8.25E-07;5.71E-07
27/08/2025 07:00;8.68E-07;6.03E-07
27/08/2025 07:01;9.09E-07;6.32E-07
27/08/2025 07:01;9.50E-07;6.62E-07
27/08/2025 07:01;9.92E-07;6.91E-07
27/08/2025 07:01;0.00000103;7.20E-07
27/08/2025 07:02;0.00000107;7.46E-07
27/08/2025 07:02;0.00000109;7.56E-07
27/08/2025 07:02;0.00000109;7.63E-07
27/08/2025 07:02;0.00000114;7.96E-07
27/08/2025 07:03;0.00000119;8.30E-07
27/08/2025 07:03;0.00000121;8.43E-07
27/08/2025 07:03;0.00000122;8.50E-07
27/08/2025 07:03;0.00000123;8.60E-07
27/08/2025 07:04;0.00000124;8.67E-07
27/08/2025 07:04;0.00000125;8.75E-07
27/08/2025 07:04;0.00000127;8.86E-07
27/08/2025 07:04;0.00000128;8.93E-07
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
