Time;PKG;CORE
27/08/2025 06:56;6.12E-07;4.36E-07
27/08/2025 06:56;6.22E-07;4.43E-07
27/08/2025 06:56;6.60E-07;4.69E-07
27/08/2025 06:56;6.79E-07;4.81E-07
27/08/2025 06:57;7.29E-07;5.15E-07
27/08/2025 06:57;7.60E-07;5.35E-07
27/08/2025 06:57;7.99E-07;5.61E-07
27/08/2025 06:57;8.51E-07;5.95E-07
27/08/2025 06:58;9.42E-07;6.58E-07
27/08/2025 06:58;0.00000102;7.12E-07
27/08/2025 06:58;0.00000105;7.35E-07
27/08/2025 06:58;0.00000115;8.02E-07
27/08/2025 06:59;0.00000129;8.98E-07
27/08/2025 06:59;0.00000146;0.00000102
27/08/2025 06:59;0.00000152;0.00000106
27/08/2025 06:59;0.00000166;0.00000115
27/08/2025 07:00;0.00000175;0.00000122
27/08/2025 07:00;0.00000187;0.0000013
27/08/2025 07:00;0.000002;0.00000139
27/08/2025 07:00;0.00000204;0.00000141
27/08/2025 07:01;0.00000207;0.00000143
27/08/2025 07:01;0.0000021;0.00000146
27/08/2025 07:01;0.00000217;0.00000151
27/08/2025 07:01;0.00000223;0.00000155
27/08/2025 07:02;0.00000232;0.00000161
27/08/2025 07:02;0.00000248;0.00000172
27/08/2025 07:02;0.00000254;0.00000176
27/08/2025 07:02;0.00000267;0.00000185
27/08/2025 07:03;0.00000278;0.00000193
27/08/2025 07:03;0.00000291;0.00000201
27/08/2025 07:03;0.00000292;0.00000202
27/08/2025 07:03;0.00000293;0.00000202
27/08/2025 07:04;0.00000295;0.00000204
27/08/2025 07:04;0.00000296;0.00000205
27/08/2025 07:04;0.00000298;0.00000206
27/08/2025 07:04;0.000003;0.00000207
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
