sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.56e-7,9.8e-8
2025-08-27 20:44:15,1.64e-7,1.03e-7
2025-08-27 20:44:30,1.69e-7,1.06e-7
2025-08-27 20:44:45,1.76e-7,1.1e-7
2025-08-27 20:45:00,1.82e-7,1.14e-7
2025-08-27 20:45:15,1.91e-7,1.19e-7
2025-08-27 20:45:30,2e-7,1.25e-7
2025-08-27 20:45:45,2.14e-7,1.34e-7
2025-08-27 20:46:00,2.22e-7,1.38e-7
2025-08-27 20:46:15,2.28e-7,1.43e-7
2025-08-27 20:46:30,2.39e-7,1.49e-7
2025-08-27 20:46:45,2.5e-7,1.56e-7
2025-08-27 20:47:00,2.63e-7,1.64e-7
2025-08-27 20:47:15,3.11e-7,1.95e-7
2025-08-27 20:47:30,3.39e-7,2.13e-7
2025-08-27 20:47:45,3.55e-7,2.22e-7
2025-08-27 20:48:00,3.92e-7,2.41e-7
2025-08-27 20:48:15,4e-7,2.45e-7
2025-08-27 20:48:30,4.47e-7,2.72e-7
2025-08-27 20:48:45,4.81e-7,2.92e-7
2025-08-27 20:49:00,4.97e-7,3.03e-7
2025-08-27 20:49:15,4.95e-7,3.01e-7
2025-08-27 20:49:30,4.99e-7,3.04e-7
2025-08-27 20:49:45,4.99e-7,3.03e-7
2025-08-27 20:50:00,5.03e-7,3.05e-7
2025-08-27 20:50:15,5.05e-7,3.07e-7
2025-08-27 20:50:30,5.09e-7,3.1e-7
2025-08-27 20:50:45,5.09e-7,3.09e-7
2025-08-27 20:51:00,5.09e-7,3.1e-7
2025-08-27 20:51:15,5.16e-7,3.14e-7
2025-08-27 20:51:30,5.2e-7,3.16e-7
2025-08-27 20:51:45,5.15e-7,3.14e-7
2025-08-27 20:52:00,5.2e-7,3.17e-7
2025-08-27 20:52:15,5.33e-7,3.25e-7
2025-08-27 20:52:30,5.36e-7,3.27e-7
2025-08-27 20:52:45,5.4e-7,3.29e-7
2025-08-27 20:53:00,5.33e-7,3.24e-7

