sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,2.01e-7,1.28e-7
2025-08-27 20:44:15,2.11e-7,1.33e-7
2025-08-27 20:44:30,2.21e-7,1.39e-7
2025-08-27 20:44:45,2.29e-7,1.44e-7
2025-08-27 20:45:00,2.36e-7,1.48e-7
2025-08-27 20:45:15,2.44e-7,1.54e-7
2025-08-27 20:45:30,2.58e-7,1.63e-7
2025-08-27 20:45:45,2.7e-7,1.7e-7
2025-08-27 20:46:00,2.81e-7,1.77e-7
2025-08-27 20:46:15,2.88e-7,1.82e-7
2025-08-27 20:46:30,3.02e-7,1.9e-7
2025-08-27 20:46:45,3.09e-7,1.94e-7
2025-08-27 20:47:00,3.16e-7,1.98e-7
2025-08-27 20:47:15,3.29e-7,2.06e-7
2025-08-27 20:47:30,3.4e-7,2.13e-7
2025-08-27 20:47:45,3.49e-7,2.16e-7
2025-08-27 20:48:00,4.07e-7,2.5e-7
2025-08-27 20:48:15,4.13e-7,2.52e-7
2025-08-27 20:48:30,4.14e-7,2.52e-7
2025-08-27 20:48:45,4.06e-7,2.46e-7
2025-08-27 20:49:00,4.18e-7,2.54e-7
2025-08-27 20:49:15,4.12e-7,2.49e-7
2025-08-27 20:49:30,4.24e-7,2.57e-7
2025-08-27 20:49:45,4.21e-7,2.55e-7
2025-08-27 20:50:00,4.22e-7,2.56e-7
2025-08-27 20:50:15,4.23e-7,2.56e-7
2025-08-27 20:50:30,4.27e-7,2.59e-7
2025-08-27 20:50:45,4.27e-7,2.58e-7
2025-08-27 20:51:00,4.31e-7,2.61e-7
2025-08-27 20:51:15,4.3e-7,2.6e-7
2025-08-27 20:51:30,4.35e-7,2.63e-7
2025-08-27 20:51:45,4.35e-7,2.63e-7
2025-08-27 20:52:00,4.4e-7,2.67e-7
2025-08-27 20:52:15,4.93e-7,2.99e-7
2025-08-27 20:52:30,5e-7,3.03e-7
2025-08-27 20:52:45,5e-7,3.02e-7
2025-08-27 20:53:00,4.99e-7,3.01e-7

