sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.93e-7,1.22e-7
2025-08-27 20:44:15,2e-7,1.26e-7
2025-08-27 20:44:30,2.07e-7,1.3e-7
2025-08-27 20:44:45,2.19e-7,1.38e-7
2025-08-27 20:45:00,2.27e-7,1.42e-7
2025-08-27 20:45:15,2.35e-7,1.48e-7
2025-08-27 20:45:30,2.45e-7,1.54e-7
2025-08-27 20:45:45,2.57e-7,1.62e-7
2025-08-27 20:46:00,2.69e-7,1.69e-7
2025-08-27 20:46:15,2.8e-7,1.76e-7
2025-08-27 20:46:30,2.87e-7,1.81e-7
2025-08-27 20:46:45,2.97e-7,1.87e-7
2025-08-27 20:47:00,3.03e-7,1.91e-7
2025-08-27 20:47:15,3.16e-7,1.98e-7
2025-08-27 20:47:30,3.28e-7,2.05e-7
2025-08-27 20:47:45,3.37e-7,2.1e-7
2025-08-27 20:48:00,3.44e-7,2.13e-7
2025-08-27 20:48:15,3.88e-7,2.38e-7
2025-08-27 20:48:30,3.94e-7,2.4e-7
2025-08-27 20:48:45,3.93e-7,2.39e-7
2025-08-27 20:49:00,3.97e-7,2.41e-7
2025-08-27 20:49:15,4.02e-7,2.44e-7
2025-08-27 20:49:30,4.07e-7,2.47e-7
2025-08-27 20:49:45,4.1e-7,2.48e-7
2025-08-27 20:50:00,4.07e-7,2.47e-7
2025-08-27 20:50:15,4.07e-7,2.47e-7
2025-08-27 20:50:30,4.11e-7,2.49e-7
2025-08-27 20:50:45,4.49e-7,2.72e-7
2025-08-27 20:51:00,4.57e-7,2.77e-7
2025-08-27 20:51:15,4.6e-7,2.79e-7
2025-08-27 20:51:30,4.61e-7,2.8e-7
2025-08-27 20:51:45,4.64e-7,2.81e-7
2025-08-27 20:52:00,4.62e-7,2.81e-7
2025-08-27 20:52:15,4.68e-7,2.84e-7
2025-08-27 20:52:30,4.69e-7,2.84e-7
2025-08-27 20:52:45,4.65e-7,2.82e-7
2025-08-27 20:53:00,4.66e-7,2.82e-7

