sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.92e-7,1.2e-7
2025-08-27 20:44:15,1.99e-7,1.24e-7
2025-08-27 20:44:30,2.06e-7,1.29e-7
2025-08-27 20:44:45,2.16e-7,1.34e-7
2025-08-27 20:45:00,2.21e-7,1.37e-7
2025-08-27 20:45:15,2.32e-7,1.44e-7
2025-08-27 20:45:30,2.43e-7,1.51e-7
2025-08-27 20:45:45,2.54e-7,1.58e-7
2025-08-27 20:46:00,2.66e-7,1.66e-7
2025-08-27 20:46:15,2.76e-7,1.72e-7
2025-08-27 20:46:30,2.86e-7,1.78e-7
2025-08-27 20:46:45,2.94e-7,1.83e-7
2025-08-27 20:47:00,3.08e-7,1.92e-7
2025-08-27 20:47:15,3.15e-7,1.96e-7
2025-08-27 20:47:30,3.32e-7,2.07e-7
2025-08-27 20:47:45,3.44e-7,2.14e-7
2025-08-27 20:48:00,3.4e-7,2.1e-7
2025-08-27 20:48:15,3.42e-7,2.1e-7
2025-08-27 20:48:30,3.63e-7,2.22e-7
2025-08-27 20:48:45,3.8e-7,2.33e-7
2025-08-27 20:49:00,3.83e-7,2.35e-7
2025-08-27 20:49:15,3.81e-7,2.33e-7
2025-08-27 20:49:30,3.89e-7,2.38e-7
2025-08-27 20:49:45,3.92e-7,2.4e-7
2025-08-27 20:50:00,4.08e-7,2.5e-7
2025-08-27 20:50:15,4.16e-7,2.55e-7
2025-08-27 20:50:30,4.25e-7,2.6e-7
2025-08-27 20:50:45,4.33e-7,2.65e-7
2025-08-27 20:51:00,4.31e-7,2.65e-7
2025-08-27 20:51:15,4.35e-7,2.67e-7
2025-08-27 20:51:30,4.39e-7,2.7e-7
2025-08-27 20:51:45,4.39e-7,2.7e-7
2025-08-27 20:52:00,4.43e-7,2.73e-7
2025-08-27 20:52:15,4.42e-7,2.71e-7
2025-08-27 20:52:30,4.48e-7,2.75e-7
2025-08-27 20:52:45,4.53e-7,2.78e-7
2025-08-27 20:53:00,4.51e-7,2.77e-7

