sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,0.0000785,0.0000491
2025-08-27 20:44:15,0.0000820,0.0000513
2025-08-27 20:44:30,0.0000855,0.0000533
2025-08-27 20:44:45,0.0000893,0.0000557
2025-08-27 20:45:00,0.0000930,0.0000580
2025-08-27 20:45:15,0.0000966,0.0000602
2025-08-27 20:45:30,0.000100,0.0000626
2025-08-27 20:45:45,0.000104,0.0000651
2025-08-27 20:46:00,0.000108,0.0000675
2025-08-27 20:46:15,0.000112,0.0000699
2025-08-27 20:46:30,0.000116,0.0000722
2025-08-27 20:46:45,0.000120,0.0000747
2025-08-27 20:47:00,0.000124,0.0000769
2025-08-27 20:47:15,0.000127,0.0000793
2025-08-27 20:47:30,0.000131,0.0000818
2025-08-27 20:47:45,0.000133,0.0000827
2025-08-27 20:48:00,0.000132,0.0000815
2025-08-27 20:48:15,0.000132,0.0000804
2025-08-27 20:48:30,0.000131,0.0000798
2025-08-27 20:48:45,0.000131,0.0000797
2025-08-27 20:49:00,0.000132,0.0000801
2025-08-27 20:49:15,0.000131,0.0000795
2025-08-27 20:49:30,0.000132,0.0000798
2025-08-27 20:49:45,0.000132,0.0000798
2025-08-27 20:50:00,0.000132,0.0000801
2025-08-27 20:50:15,0.000133,0.0000806
2025-08-27 20:50:30,0.000133,0.0000808
2025-08-27 20:50:45,0.000133,0.0000809
2025-08-27 20:51:00,0.000134,0.0000814
2025-08-27 20:51:15,0.000134,0.0000815
2025-08-27 20:51:30,0.000135,0.0000819
2025-08-27 20:51:45,0.000135,0.0000820
2025-08-27 20:52:00,0.000136,0.0000827
2025-08-27 20:52:15,0.000136,0.0000828
2025-08-27 20:52:30,0.000136,0.0000831
2025-08-27 20:52:45,0.000136,0.0000833
2025-08-27 20:53:00,0.000136,0.0000830

