sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,4.59e-7,2.85e-7
2025-08-27 20:44:15,4.81e-7,2.98e-7
2025-08-27 20:44:30,5.04e-7,3.12e-7
2025-08-27 20:44:45,5.26e-7,3.26e-7
2025-08-27 20:45:00,5.46e-7,3.38e-7
2025-08-27 20:45:15,5.64e-7,3.49e-7
2025-08-27 20:45:30,5.87e-7,3.63e-7
2025-08-27 20:45:45,6.14e-7,3.81e-7
2025-08-27 20:46:00,6.37e-7,3.95e-7
2025-08-27 20:46:15,6.64e-7,4.12e-7
2025-08-27 20:46:30,7.28e-7,4.52e-7
2025-08-27 20:46:45,7.53e-7,4.68e-7
2025-08-27 20:47:00,7.79e-7,4.83e-7
2025-08-27 20:47:15,8.04e-7,4.98e-7
2025-08-27 20:47:30,8.35e-7,5.18e-7
2025-08-27 20:47:45,8.76e-7,5.4e-7
2025-08-27 20:48:00,0.00000103,6.24e-7
2025-08-27 20:48:15,0.00000105,6.34e-7
2025-08-27 20:48:30,0.00000121,7.24e-7
2025-08-27 20:48:45,0.00000138,8.22e-7
2025-08-27 20:49:00,0.00000145,8.68e-7
2025-08-27 20:49:15,0.00000147,8.78e-7
2025-08-27 20:49:30,0.00000150,9e-7
2025-08-27 20:49:45,0.00000153,9.14e-7
2025-08-27 20:50:00,0.00000157,9.38e-7
2025-08-27 20:50:15,0.00000161,9.67e-7
2025-08-27 20:50:30,0.00000162,9.71e-7
2025-08-27 20:50:45,0.00000163,9.81e-7
2025-08-27 20:51:00,0.00000164,9.84e-7
2025-08-27 20:51:15,0.00000164,9.83e-7
2025-08-27 20:51:30,0.00000165,9.95e-7
2025-08-27 20:51:45,0.00000166,0.00000100
2025-08-27 20:52:00,0.00000176,0.00000107
2025-08-27 20:52:15,0.00000192,0.00000116
2025-08-27 20:52:30,0.00000192,0.00000116
2025-08-27 20:52:45,0.00000192,0.00000116
2025-08-27 20:53:00,0.00000192,0.00000116

