sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.57e-7,9.8e-8
2025-08-27 20:44:15,1.63e-7,1.01e-7
2025-08-27 20:44:30,1.71e-7,1.06e-7
2025-08-27 20:44:45,1.77e-7,1.1e-7
2025-08-27 20:45:00,1.84e-7,1.14e-7
2025-08-27 20:45:15,1.93e-7,1.2e-7
2025-08-27 20:45:30,2.03e-7,1.26e-7
2025-08-27 20:45:45,2.14e-7,1.33e-7
2025-08-27 20:46:00,2.23e-7,1.39e-7
2025-08-27 20:46:15,2.3e-7,1.43e-7
2025-08-27 20:46:30,2.41e-7,1.5e-7
2025-08-27 20:46:45,2.47e-7,1.54e-7
2025-08-27 20:47:00,2.57e-7,1.6e-7
2025-08-27 20:47:15,2.68e-7,1.67e-7
2025-08-27 20:47:30,2.76e-7,1.72e-7
2025-08-27 20:47:45,2.83e-7,1.75e-7
2025-08-27 20:48:00,2.83e-7,1.74e-7
2025-08-27 20:48:15,2.8e-7,1.71e-7
2025-08-27 20:48:30,2.84e-7,1.72e-7
2025-08-27 20:48:45,2.84e-7,1.72e-7
2025-08-27 20:49:00,2.88e-7,1.74e-7
2025-08-27 20:49:15,2.9e-7,1.75e-7
2025-08-27 20:49:30,2.98e-7,1.8e-7
2025-08-27 20:49:45,2.99e-7,1.8e-7
2025-08-27 20:50:00,3.03e-7,1.83e-7
2025-08-27 20:50:15,3.05e-7,1.84e-7
2025-08-27 20:50:30,3.08e-7,1.86e-7
2025-08-27 20:50:45,3.13e-7,1.9e-7
2025-08-27 20:51:00,3.12e-7,1.89e-7
2025-08-27 20:51:15,3.16e-7,1.91e-7
2025-08-27 20:51:30,3.2e-7,1.95e-7
2025-08-27 20:51:45,3.18e-7,1.93e-7
2025-08-27 20:52:00,3.2e-7,1.95e-7
2025-08-27 20:52:15,3.43e-7,2.09e-7
2025-08-27 20:52:30,3.83e-7,2.33e-7
2025-08-27 20:52:45,3.86e-7,2.34e-7
2025-08-27 20:53:00,3.86e-7,2.34e-7

