sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.5e-7,9.4e-8
2025-08-27 20:44:15,1.56e-7,9.72e-8
2025-08-27 20:44:30,1.61e-7,1.01e-7
2025-08-27 20:44:45,1.72e-7,1.08e-7
2025-08-27 20:45:00,1.78e-7,1.11e-7
2025-08-27 20:45:15,1.87e-7,1.18e-7
2025-08-27 20:45:30,1.98e-7,1.24e-7
2025-08-27 20:45:45,2.08e-7,1.3e-7
2025-08-27 20:46:00,2.16e-7,1.35e-7
2025-08-27 20:46:15,2.25e-7,1.41e-7
2025-08-27 20:46:30,2.36e-7,1.48e-7
2025-08-27 20:46:45,2.49e-7,1.56e-7
2025-08-27 20:47:00,2.56e-7,1.6e-7
2025-08-27 20:47:15,2.65e-7,1.66e-7
2025-08-27 20:47:30,2.77e-7,1.73e-7
2025-08-27 20:47:45,2.83e-7,1.76e-7
2025-08-27 20:48:00,2.84e-7,1.75e-7
2025-08-27 20:48:15,2.86e-7,1.76e-7
2025-08-27 20:48:30,2.92e-7,1.79e-7
2025-08-27 20:48:45,2.93e-7,1.79e-7
2025-08-27 20:49:00,2.99e-7,1.83e-7
2025-08-27 20:49:15,3e-7,1.83e-7
2025-08-27 20:49:30,3.07e-7,1.87e-7
2025-08-27 20:49:45,3.07e-7,1.87e-7
2025-08-27 20:50:00,3.11e-7,1.9e-7
2025-08-27 20:50:15,3.1e-7,1.89e-7
2025-08-27 20:50:30,3.14e-7,1.91e-7
2025-08-27 20:50:45,3.13e-7,1.9e-7
2025-08-27 20:51:00,3.24e-7,1.97e-7
2025-08-27 20:51:15,3.54e-7,2.16e-7
2025-08-27 20:51:30,3.72e-7,2.27e-7
2025-08-27 20:51:45,3.69e-7,2.26e-7
2025-08-27 20:52:00,3.75e-7,2.29e-7
2025-08-27 20:52:15,4.13e-7,2.53e-7
2025-08-27 20:52:30,4.39e-7,2.69e-7
2025-08-27 20:52:45,4.42e-7,2.7e-7
2025-08-27 20:53:00,4.38e-7,2.68e-7

