sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,1.61e-7,1.03e-7
2025-08-27 20:44:15,1.64e-7,1.05e-7
2025-08-27 20:44:30,6.42e-7,3.87e-7
2025-08-27 20:44:45,0.00000185,0.00000115
2025-08-27 20:45:00,0.00000297,0.00000184
2025-08-27 20:45:15,0.00000414,0.00000256
2025-08-27 20:45:30,0.00000854,0.00000526
2025-08-27 20:45:45,0.0000126,0.00000786
2025-08-27 20:46:00,0.0000167,0.0000104
2025-08-27 20:46:15,0.0000206,0.0000128
2025-08-27 20:46:30,0.0000245,0.0000152
2025-08-27 20:46:45,0.0000285,0.0000177
2025-08-27 20:47:00,0.0000319,0.0000198
2025-08-27 20:47:15,0.0000352,0.0000217
2025-08-27 20:47:30,0.0000393,0.0000243
2025-08-27 20:47:45,0.0000420,0.0000260
2025-08-27 20:48:00,0.0000428,0.0000264
2025-08-27 20:48:15,0.0000438,0.0000270
2025-08-27 20:48:30,0.0000460,0.0000283
2025-08-27 20:48:45,0.0000484,0.0000298
2025-08-27 20:49:00,0.0000502,0.0000309
2025-08-27 20:49:15,0.0000503,0.0000309
2025-08-27 20:49:30,0.0000505,0.0000311
2025-08-27 20:49:45,0.0000512,0.0000315
2025-08-27 20:50:00,0.0000527,0.0000324
2025-08-27 20:50:15,0.0000536,0.0000330
2025-08-27 20:50:30,0.0000540,0.0000332
2025-08-27 20:50:45,0.0000558,0.0000343
2025-08-27 20:51:00,0.0000567,0.0000349
2025-08-27 20:51:15,0.0000575,0.0000354
2025-08-27 20:51:30,0.0000582,0.0000358
2025-08-27 20:51:45,0.0000587,0.0000361
2025-08-27 20:52:00,0.0000591,0.0000363
2025-08-27 20:52:15,0.0000601,0.0000369
2025-08-27 20:52:30,0.0000601,0.0000369
2025-08-27 20:52:45,0.0000601,0.0000369
2025-08-27 20:53:00,0.0000601,0.0000369

